0,1,2,3,4,5,6
10,Machine learning pipeline for battery state-of-health estimation,Sparse and Dense Data with CNNs: Depth Completion and Semantic Segmentation,1.0,"['Machine learning pipeline for battery state-of-health estimation', 'Sparse and Dense Data with CNNs: Depth Completion and Semantic Segmentation']","[0.0, 1.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'Sparse and Dense Data with CNNs: Depth Completion and Semantic Segmentation', 'paperId': 'd8af6a45eaea68adda8597ae65f91ece152f7b21', 'nodeNum': 1}]"
11,Machine learning pipeline for battery state-of-health estimation,An Overview of Data Warehouse and Data Lake in Modern Enterprise Data Management,1.0,"['Machine learning pipeline for battery state-of-health estimation', 'An Overview of Data Warehouse and Data Lake in Modern Enterprise Data Management']","[0.0, 1.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'An Overview of Data Warehouse and Data Lake in Modern Enterprise Data Management', 'paperId': '82e1e8b222aeaca19d45375b31fdc825d1a821b8', 'nodeNum': 1}]"
12,Machine learning pipeline for battery state-of-health estimation,Large-Scale Machine Learning with Stochastic Gradient Descent,1.0,"['Machine learning pipeline for battery state-of-health estimation', 'Large-Scale Machine Learning with Stochastic Gradient Descent']","[0.0, 1.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'Large-Scale Machine Learning with Stochastic Gradient Descent', 'paperId': 'fbc6562814e08e416e28a268ce7beeaa3d0708c8', 'nodeNum': 1}]"
13,Machine learning pipeline for battery state-of-health estimation,ImageNet: A large-scale hierarchical image database,1.0,"['Machine learning pipeline for battery state-of-health estimation', 'ImageNet: A large-scale hierarchical image database']","[0.0, 1.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'ImageNet: A large-scale hierarchical image database', 'paperId': 'd2c733e34d48784a37d717fe43d9e93277a8c53e', 'nodeNum': 1}]"
14,Machine learning pipeline for battery state-of-health estimation,The Pfam protein families database,1.0,"['Machine learning pipeline for battery state-of-health estimation', 'The Pfam protein families database']","[0.0, 1.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'The Pfam protein families database', 'paperId': 'a98753021c6a076a5307f4dfb7fd1fcb14089910', 'nodeNum': 1}]"
15,Machine learning pipeline for battery state-of-health estimation,Correlation-based Feature Selection for Machine Learning,1.0,"['Machine learning pipeline for battery state-of-health estimation', 'Correlation-based Feature Selection for Machine Learning']","[0.0, 1.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'Correlation-based Feature Selection for Machine Learning', 'paperId': '6bc43977fb11cceed0b9aa55b23c6dd29dd9a132', 'nodeNum': 1}]"
16,Machine learning pipeline for battery state-of-health estimation,An improved method of constructing a database of monthly climate observations and associated high‐resolution grids,1.0,"['Machine learning pipeline for battery state-of-health estimation', 'An improved method of constructing a database of monthly climate observations and associated high‐resolution grids']","[0.0, 1.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'An improved method of constructing a database of monthly climate observations and associated high‐resolution grids', 'paperId': '716000409a3a2e2c75801b3d58b9b17b68eeaef7', 'nodeNum': 1}]"
17,Machine learning pipeline for battery state-of-health estimation,"The STRING database in 2011: functional interaction networks of proteins, globally integrated and scored",1.0,"['Machine learning pipeline for battery state-of-health estimation', 'The STRING database in 2011: functional interaction networks of proteins, globally integrated and scored']","[0.0, 1.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'The STRING database in 2011: functional interaction networks of proteins, globally integrated and scored', 'paperId': 'ceee6447b291f8052a28c9eb00ca360d6f39f9b1', 'nodeNum': 1}]"
18,Machine learning pipeline for battery state-of-health estimation,Teaching Creative and Practical Data Science at Scale,1.0,"['Machine learning pipeline for battery state-of-health estimation', 'Teaching Creative and Practical Data Science at Scale']","[0.0, 1.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'Teaching Creative and Practical Data Science at Scale', 'paperId': '840b60da93c2776230d3e6123d708e1c7e66ebc0', 'nodeNum': 1}]"
19,Machine learning pipeline for battery state-of-health estimation,Data Warehouse,1.0,"['Machine learning pipeline for battery state-of-health estimation', 'Data Warehouse']","[0.0, 1.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'Data Warehouse', 'paperId': '0cc65517cbcb31beb3af6eb2a3c0fdcd60856a8b', 'nodeNum': 1}]"
20,Machine learning pipeline for battery state-of-health estimation,Machine Learning for Fluid Mechanics,1.0,"['Machine learning pipeline for battery state-of-health estimation', 'Machine Learning for Fluid Mechanics']","[0.0, 1.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'Machine Learning for Fluid Mechanics', 'paperId': '4087e84fc695bb6433d0104ee94f9d7e9f4b7da5', 'nodeNum': 1}]"
21,Machine learning pipeline for battery state-of-health estimation,LabelMe: A Database and Web-Based Tool for Image Annotation,1.0,"['Machine learning pipeline for battery state-of-health estimation', 'LabelMe: A Database and Web-Based Tool for Image Annotation']","[0.0, 1.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'LabelMe: A Database and Web-Based Tool for Image Annotation', 'paperId': '092c275005ae49dc1303214f6d02d134457c7053', 'nodeNum': 1}]"
22,Machine learning pipeline for battery state-of-health estimation,The Machine‐Learning Approach,1.0,"['Machine learning pipeline for battery state-of-health estimation', 'The Machine‐Learning Approach']","[0.0, 1.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'The Machine‐Learning Approach', 'paperId': 'd1e701665e73faa648cb15473952576f40e8e122', 'nodeNum': 1}]"
23,Machine learning pipeline for battery state-of-health estimation,Towards Data Quality into the Data Warehouse Development,1.0,"['Machine learning pipeline for battery state-of-health estimation', 'Towards Data Quality into the Data Warehouse Development']","[0.0, 1.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'Towards Data Quality into the Data Warehouse Development', 'paperId': 'e4a5541d7dfb7cb11ca0ff86f840da540a2140b9', 'nodeNum': 1}]"
24,Machine learning pipeline for battery state-of-health estimation,Semantic data mining in the information age: A systematic review,1.0,"['Machine learning pipeline for battery state-of-health estimation', 'Semantic data mining in the information age: A systematic review']","[0.0, 1.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'Semantic data mining in the information age: A systematic review', 'paperId': '10ffcae001fa724f9fd49fe0726c32166df9209b', 'nodeNum': 1}]"
25,Machine learning pipeline for battery state-of-health estimation,Adversarial Semantic Data Augmentation for Human Pose Estimation,1.0,"['Machine learning pipeline for battery state-of-health estimation', 'Adversarial Semantic Data Augmentation for Human Pose Estimation']","[0.0, 1.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'Adversarial Semantic Data Augmentation for Human Pose Estimation', 'paperId': 'cf5e97a98460a8c4766dffb62b33cfb819b22c73', 'nodeNum': 1}]"
26,Machine learning pipeline for battery state-of-health estimation,"Repbase Update, a database of repetitive elements in eukaryotic genomes",2.0,"['Machine learning pipeline for battery state-of-health estimation', 'Semantic data mining in the information age: A systematic review', 'Repbase Update, a database of repetitive elements in eukaryotic genomes']","[0.0, 1.0, 2.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'Semantic data mining in the information age: A systematic review', 'paperId': '10ffcae001fa724f9fd49fe0726c32166df9209b', 'nodeNum': 1}, {'title': 'Repbase Update, a database of repetitive elements in eukaryotic genomes', 'paperId': '95162f20fa22a8cfe84b74aa118f18a6f04eb1ab', 'nodeNum': 2}]"
27,Machine learning pipeline for battery state-of-health estimation,ONCOMINE: a cancer microarray database and integrated data-mining platform.,2.0,"['Machine learning pipeline for battery state-of-health estimation', 'Adversarial Semantic Data Augmentation for Human Pose Estimation', 'ONCOMINE: a cancer microarray database and integrated data-mining platform.']","[0.0, 1.0, 2.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'Adversarial Semantic Data Augmentation for Human Pose Estimation', 'paperId': 'cf5e97a98460a8c4766dffb62b33cfb819b22c73', 'nodeNum': 1}, {'title': 'ONCOMINE: a cancer microarray database and integrated data-mining platform.', 'paperId': 'eb960b5d56ed1368991eaa4f40cb7afee66edb1f', 'nodeNum': 2}]"
28,Machine learning pipeline for battery state-of-health estimation,Plant cis-acting regulatory DNA elements (PLACE) database: 1999,2.0,"['Machine learning pipeline for battery state-of-health estimation', 'Correlation-based Feature Selection for Machine Learning', 'Plant cis-acting regulatory DNA elements (PLACE) database: 1999']","[0.0, 1.0, 2.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'Correlation-based Feature Selection for Machine Learning', 'paperId': '6bc43977fb11cceed0b9aa55b23c6dd29dd9a132', 'nodeNum': 1}, {'title': 'Plant cis-acting regulatory DNA elements (PLACE) database: 1999', 'paperId': '3d1ba71a1c3b7302e12ab3d07bf4a8451db5aad0', 'nodeNum': 2}]"
29,Machine learning pipeline for battery state-of-health estimation,HMDB 3.0—The Human Metabolome Database in 2013,2.0,"['Machine learning pipeline for battery state-of-health estimation', 'Towards an Architecture for Managing Big Semantic Data in Real-Time', 'HMDB 3.0—The Human Metabolome Database in 2013']","[0.0, 1.0, 2.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'Towards an Architecture for Managing Big Semantic Data in Real-Time', 'paperId': 'fd9aef292d9f8e092f4627bbc4fc3377b55ab6b5', 'nodeNum': 1}, {'title': 'HMDB 3.0—The Human Metabolome Database in 2013', 'paperId': '8c8b7c1adb6f077bb3045928767b8bc6763e0c06', 'nodeNum': 2}]"
30,Machine learning pipeline for battery state-of-health estimation,TRRUST v2: an expanded reference database of human and mouse transcriptional regulatory interactions,2.0,"['Machine learning pipeline for battery state-of-health estimation', 'A new paradigm for accelerating clinical data science at Stanford Medicine', 'TRRUST v2: an expanded reference database of human and mouse transcriptional regulatory interactions']","[0.0, 1.0, 2.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'A new paradigm for accelerating clinical data science at Stanford Medicine', 'paperId': '5b9ea2abf1c5a04b3024367409284edceb741ef2', 'nodeNum': 1}, {'title': 'TRRUST v2: an expanded reference database of human and mouse transcriptional regulatory interactions', 'paperId': 'ba90ae48b30594b57a5ca7bfd37cae150458ecfa', 'nodeNum': 2}]"
31,Machine learning pipeline for battery state-of-health estimation,"NCBI Reference Sequence (RefSeq): a curated non-redundant sequence database of genomes, transcripts and proteins",2.0,"['Machine learning pipeline for battery state-of-health estimation', 'Nucleus segmentation across imaging experiments: the 2018 Data Science Bowl', 'NCBI Reference Sequence (RefSeq): a curated non-redundant sequence database of genomes, transcripts and proteins']","[0.0, 1.0, 2.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'Nucleus segmentation across imaging experiments: the 2018 Data Science Bowl', 'paperId': 'b79ca6fd3df135a9bcf778844be625b764fbcfb3', 'nodeNum': 1}, {'title': 'NCBI Reference Sequence (RefSeq): a curated non-redundant sequence database of genomes, transcripts and proteins', 'paperId': 'b307d55ba07058d6183991d2d2a81b340d558186', 'nodeNum': 2}]"
32,Machine learning pipeline for battery state-of-health estimation,Genetic Algorithms in Search Optimization and Machine Learning,2.0,"['Machine learning pipeline for battery state-of-health estimation', 'Nucleus segmentation across imaging experiments: the 2018 Data Science Bowl', 'Genetic Algorithms in Search Optimization and Machine Learning']","[0.0, 1.0, 2.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'Nucleus segmentation across imaging experiments: the 2018 Data Science Bowl', 'paperId': 'b79ca6fd3df135a9bcf778844be625b764fbcfb3', 'nodeNum': 1}, {'title': 'Genetic Algorithms in Search Optimization and Machine Learning', 'paperId': '2e62d1345b340d5fda3b092c460264b9543bc4b5', 'nodeNum': 2}]"
33,Machine learning pipeline for battery state-of-health estimation,What is Data Science?,2.0,"['Machine learning pipeline for battery state-of-health estimation', 'A new paradigm for accelerating clinical data science at Stanford Medicine', 'What is Data Science?']","[0.0, 1.0, 2.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'A new paradigm for accelerating clinical data science at Stanford Medicine', 'paperId': '5b9ea2abf1c5a04b3024367409284edceb741ef2', 'nodeNum': 1}, {'title': 'What is Data Science?', 'paperId': 'ed6473fd5294a0639d661e02092768f364d80f39', 'nodeNum': 2}]"
34,Machine learning pipeline for battery state-of-health estimation,Model Adaptation with Synthetic and Real Data for Semantic Dense Foggy Scene Understanding,2.0,"['Machine learning pipeline for battery state-of-health estimation', 'The Data Mining of the Human Resources Data Warehouse in University Based on Association Rule', 'Model Adaptation with Synthetic and Real Data for Semantic Dense Foggy Scene Understanding']","[0.0, 1.0, 2.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'The Data Mining of the Human Resources Data Warehouse in University Based on Association Rule', 'paperId': '28a697d97e51bed8afd01f89d28c25e8e5c65360', 'nodeNum': 1}, {'title': 'Model Adaptation with Synthetic and Real Data for Semantic Dense Foggy Scene Understanding', 'paperId': '9d67af2158807aa815b5a4485b076f7a18ce6ab4', 'nodeNum': 2}]"
35,Machine learning pipeline for battery state-of-health estimation,Semantic Data Extraction,2.0,"['Machine learning pipeline for battery state-of-health estimation', 'An improved method of constructing a database of monthly climate observations and associated high‐resolution grids', 'Semantic Data Extraction']","[0.0, 1.0, 2.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'An improved method of constructing a database of monthly climate observations and associated high‐resolution grids', 'paperId': '716000409a3a2e2c75801b3d58b9b17b68eeaef7', 'nodeNum': 1}, {'title': 'Semantic Data Extraction', 'paperId': '4c5e6d601575d9d88afc405af821ddd79788a5d6', 'nodeNum': 2}]"
36,Machine learning pipeline for battery state-of-health estimation,DrugBank 5.0: a major update to the DrugBank database for 2018,2.0,"['Machine learning pipeline for battery state-of-health estimation', 'An improved method of constructing a database of monthly climate observations and associated high‐resolution grids', 'DrugBank 5.0: a major update to the DrugBank database for 2018']","[0.0, 1.0, 2.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'An improved method of constructing a database of monthly climate observations and associated high‐resolution grids', 'paperId': '716000409a3a2e2c75801b3d58b9b17b68eeaef7', 'nodeNum': 1}, {'title': 'DrugBank 5.0: a major update to the DrugBank database for 2018', 'paperId': '98128fd412ebfa90201a276f2c59020ccc696a75', 'nodeNum': 2}]"
37,Machine learning pipeline for battery state-of-health estimation,The PRIDE database resources in 2022: a hub for mass spectrometry-based proteomics evidences,2.0,"['Machine learning pipeline for battery state-of-health estimation', 'The Data Mining of the Human Resources Data Warehouse in University Based on Association Rule', 'The PRIDE database resources in 2022: a hub for mass spectrometry-based proteomics evidences']","[0.0, 1.0, 2.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'The Data Mining of the Human Resources Data Warehouse in University Based on Association Rule', 'paperId': '28a697d97e51bed8afd01f89d28c25e8e5c65360', 'nodeNum': 1}, {'title': 'The PRIDE database resources in 2022: a hub for mass spectrometry-based proteomics evidences', 'paperId': '3283f9c33e4b3fbd51d58a54dc236a92f5a98f80', 'nodeNum': 2}]"
38,Machine learning pipeline for battery state-of-health estimation,The SILVA ribosomal RNA gene database project: improved data processing and web-based tools,2.0,"['Machine learning pipeline for battery state-of-health estimation', 'An improved method of constructing a database of monthly climate observations and associated high‐resolution grids', 'The SILVA ribosomal RNA gene database project: improved data processing and web-based tools']","[0.0, 1.0, 2.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'An improved method of constructing a database of monthly climate observations and associated high‐resolution grids', 'paperId': '716000409a3a2e2c75801b3d58b9b17b68eeaef7', 'nodeNum': 1}, {'title': 'The SILVA ribosomal RNA gene database project: improved data processing and web-based tools', 'paperId': 'b204970b0503a923359bff532726666f5e0e971b', 'nodeNum': 2}]"
39,Machine learning pipeline for battery state-of-health estimation,"The Art and Practice of Data Science Pipelines: A Comprehensive Study of Data Science Pipelines In Theory, In-The-Small, and In-The-Large",2.0,"['Machine learning pipeline for battery state-of-health estimation', 'The STRING database in 2011: functional interaction networks of proteins, globally integrated and scored', 'The Art and Practice of Data Science Pipelines: A Comprehensive Study of Data Science Pipelines In Theory, In-The-Small, and In-The-Large']","[0.0, 1.0, 2.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'The STRING database in 2011: functional interaction networks of proteins, globally integrated and scored', 'paperId': 'ceee6447b291f8052a28c9eb00ca360d6f39f9b1', 'nodeNum': 1}, {'title': 'The Art and Practice of Data Science Pipelines: A Comprehensive Study of Data Science Pipelines In Theory, In-The-Small, and In-The-Large', 'paperId': 'f9d403c58db99e2214f43e5b1740694b9c79002f', 'nodeNum': 2}]"
40,Machine learning pipeline for battery state-of-health estimation,SystemDS: A Declarative Machine Learning System for the End-to-End Data Science Lifecycle,2.0,"['Machine learning pipeline for battery state-of-health estimation', 'A new paradigm for accelerating clinical data science at Stanford Medicine', 'SystemDS: A Declarative Machine Learning System for the End-to-End Data Science Lifecycle']","[0.0, 1.0, 2.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'A new paradigm for accelerating clinical data science at Stanford Medicine', 'paperId': '5b9ea2abf1c5a04b3024367409284edceb741ef2', 'nodeNum': 1}, {'title': 'SystemDS: A Declarative Machine Learning System for the End-to-End Data Science Lifecycle', 'paperId': '2ad13329d44c74041626a60898ccf921b0bdacd3', 'nodeNum': 2}]"
41,Machine learning pipeline for battery state-of-health estimation,Introducing EzTaxon-e: a prokaryotic 16S rRNA gene sequence database with phylotypes that represent uncultured species.,2.0,"['Machine learning pipeline for battery state-of-health estimation', 'The Data Mining of the Human Resources Data Warehouse in University Based on Association Rule', 'Introducing EzTaxon-e: a prokaryotic 16S rRNA gene sequence database with phylotypes that represent uncultured species.']","[0.0, 1.0, 2.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'The Data Mining of the Human Resources Data Warehouse in University Based on Association Rule', 'paperId': '28a697d97e51bed8afd01f89d28c25e8e5c65360', 'nodeNum': 1}, {'title': 'Introducing EzTaxon-e: a prokaryotic 16S rRNA gene sequence database with phylotypes that represent uncultured species.', 'paperId': '57dfc18815bba1c3737dbc2e5497fd1fc595edb5', 'nodeNum': 2}]"
42,Machine learning pipeline for battery state-of-health estimation,Knowledge-based Biomedical Data Science 2019,2.0,"['Machine learning pipeline for battery state-of-health estimation', 'The STRING database in 2011: functional interaction networks of proteins, globally integrated and scored', 'Knowledge-based Biomedical Data Science 2019']","[0.0, 1.0, 2.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'The STRING database in 2011: functional interaction networks of proteins, globally integrated and scored', 'paperId': 'ceee6447b291f8052a28c9eb00ca360d6f39f9b1', 'nodeNum': 1}, {'title': 'Knowledge-based Biomedical Data Science 2019', 'paperId': 'bb6adeeb3a21479cc45490a5c2ff6d8dd5e77603', 'nodeNum': 2}]"
43,Machine learning pipeline for battery state-of-health estimation,Data Warehouse From Architecture To Implementation,2.0,"['Machine learning pipeline for battery state-of-health estimation', 'The STRING database in 2011: functional interaction networks of proteins, globally integrated and scored', 'Data Warehouse From Architecture To Implementation']","[0.0, 1.0, 2.0]","[{'title': 'Machine learning pipeline for battery state-of-health estimation', 'paperId': 'f1664bbaddedea8c250873e7610ab07e53fa7132', 'nodeNum': 0}, {'title': 'The STRING database in 2011: functional interaction networks of proteins, globally integrated and scored', 'paperId': 'ceee6447b291f8052a28c9eb00ca360d6f39f9b1', 'nodeNum': 1}, {'title': 'Data Warehouse From Architecture To Implementation', 'paperId': '7ef882c911a59e749145f0280577715541c88f22', 'nodeNum': 2}]"
