OrganizationID,affiliation_name,affiliationType
a7c8ecbc-6b58-406f-99c6-80f0bf72bf46,Walters PLC,company
2b9b0a4f-2696-4b2f-9230-436bcddb48d2,Lancaster University,university
a7e5416e-2775-43a8-818f-b6297f115148,Brown-Mcbride,company
61adae6c-dad8-4516-a869-43ff872b93c9,Douglas and Sons,company
fe6fa24f-8ff9-47c2-947c-54454e645553,Wright-Jenkins,company
7ff82760-f92d-4977-a0b8-b1543ed2e5f5,University of Reading,university
df770977-0c1a-48e4-936f-090cf0f57e93,Ruiz Group,company
52473659-f241-46b2-bbb3-497f095f2933,Delft University of Technology,university
4331881c-0591-491f-9fc4-964766f45ab1,University of Essex,university
7b9339d2-8d27-4b58-9dd2-2e3f86c4ca24,Columbia University,university
d5c1d05e-72f7-4284-9ddd-45858af3d47d,Santos-Jones,company
b382a399-bd70-4257-b989-7d3878c3bc09,University of Southern California,university
bf4bf634-d4f5-4348-a13a-103450ad546d,Delft University of Technology,university
1094451d-cc21-4fe1-ab23-986ec9a78a4a,University of Sussex,university
b2dcf379-6717-41fd-b5c0-5b9d3b1803cd,Huang-Rivera,company
e979cbf3-50c5-44ec-8dd7-e81dffd37dda,"Salazar, Kelley and Anderson",company
592a54b8-91df-46b8-ac2d-cc2f7ffaf683,Kidd-Burke,company
f6ec023c-5af1-461c-bf2f-00312ae1267c,Ibarra LLC,company
4fe9a3bb-721d-4c8d-8896-24b4fddefc13,"Munoz, Campbell and Cooper",company
e9e3c5cf-a863-4a96-a612-cfa379eb0e52,University of Michigan,university
70c0d9c4-358d-4e0e-8bf7-248c0bc26d74,"Stein, Brown and Johnson",company
3484d09b-a90c-47e0-bab5-98404310230e,"Ball, Martinez and Cochran",company
369d51a8-1bb4-4204-b380-eb5b9aa923c8,National University of Singapore,university
c055e691-b08c-4e35-a4fb-12d0db929ce5,Northwestern University,university
200c223b-b98a-4290-8b01-174c6628b2f4,Smith-Ashley,company
9057377b-1c0e-412b-83fb-a7bba48f9d14,Purdue University,university
49b4d8ed-a9f0-4b4b-86b8-e5499b7185f1,Technical University of Munich,university
6bad9651-83f2-44d8-b14b-0ebe5188a5b1,Duke University,university
d73841dd-b943-46b4-9800-330b81800823,"Hamilton, Adams and Mcbride",company
bb2841b7-d58d-4c79-82df-f36ba5baf1e5,University of Sussex,university
58e12930-e957-4a62-9a77-a5b913176650,University of Queensland,university
8a34d527-0417-45da-ba69-78c1e098033b,Coleman Ltd,company
650d7fb0-44c3-4bf4-aced-c5032661a698,Hicks Ltd,company
1942d076-33ff-4689-a3a8-abfd17b1f16b,"Juarez, Koch and Graham",company
49b25d15-92b1-4818-9981-0312c0fc26e6,"Riggs, Lowery and Mcintosh",company
cc2a65c2-4cfb-4c47-abc6-63917c5c8802,"Rasmussen, Bauer and Gonzales",company
fad9e589-0433-4a22-9406-61bb69b6f91c,London School of Economics and Political Science,university
cf8b905b-b863-4535-a438-76993de1de93,"University of California, Davis",university
bccaa619-7b4d-412d-baee-160d7805bab3,University of Toronto,university
f2d1e087-605c-4822-9e4f-0e2ed1f1cfb6,Utrecht University,university
b0e7d811-c070-464f-94b7-8ec6409f3b5a,University of São Paulo,university
426e0cb0-01dd-4c1b-b33e-f7a9a389487c,"Gillespie, Mcdonald and Moore",company
e5ee79d1-09ba-4970-802b-e10be9d79e39,University of Queensland,university
5c436f35-d68a-4488-ae8d-ba206afdc0a0,University of Manchester,university
6171d6a2-7ae0-45cd-a454-30d24dc5c7f3,Utrecht University,university
71a75272-8632-46d6-bad3-e54cfbaeae2f,Lee and Sons,company
7691ccba-4188-417b-83b1-dd9865cb5156,Tsinghua University,university
c88325b2-63db-454e-880c-51173a66d8fc,Moreno and Sons,company
77bf7a8d-d4a9-42c5-8cac-02c3f59c0f2a,"Oneal, Mcclain and White",company
59b2554d-084c-4352-92ee-e0c82282a3b5,University of Essex,university
28f4dc39-dc55-4f15-aa83-5005b4fe3968,University of Western Australia,university
57aa71f7-6049-4323-8122-e527719eef53,University of Warwick,university
b5118c54-62ee-46a4-8484-9f368c351249,University of Chicago,university
33068f1f-aa55-430e-867c-dbda46e1623b,Flores-King,company
16ca0c9d-8361-4ace-9f41-7181cafa80d6,University of Washington,university
f2867c59-ce1c-40c7-9b93-4640076247e9,"Allen, Tanner and Jimenez",company
1aefc968-6be3-45a7-9a72-0e9e4a8f861c,Ludwig Maximilian University of Munich,university
f1b1389b-9a73-42b0-9dd4-50dbc861a1b4,Olson Ltd,company
2a00a4ad-5ba9-44ad-8239-f0e8f83be8fd,Smith-Taylor,company
b3a3c655-cc04-411b-bb92-4fb5a69a02e7,"Pearson, Reeves and Chavez",company
768eefc3-c96e-4225-ae52-c5d90048ac19,Armstrong Inc,company
e4930f32-c4e7-4729-858b-eb526e3794fa,"Horne, Rodriguez and Hester",company
5e4934df-5f4e-495c-8ffb-7fb9cabd46b7,Logan Inc,company
58e1e584-9f76-48f5-946f-f65d58040bc5,Quinn-Romero,company
106c38cd-05f3-42cc-90a6-9ed50e56d336,Purdue University,university
ae0e8086-7946-46b8-b780-719a8f15e548,Queen Mary University of London,university
bfb12230-90c9-46de-8e70-04d4572789e5,"Butler, Waters and King",company
00d5e9ca-511a-412f-89b5-948461e5caba,ETH Zurich,university
50c32a74-9cf9-4e57-9a0d-f810c11f4f5d,Durham University,university
8d3e2c81-8a7d-4c13-9a10-6a3d564fe345,Gibbs-Nielsen,company
f0bff011-881e-4749-9616-7b7202ecbf9c,King's College London,university
d690f5c6-ffac-46ff-aef6-5fae930a56d6,University of Chicago,university
2f328a8d-6a47-4e79-a1fd-409012df6904,Lancaster University,university
364061ad-30fa-48cc-9202-5a228ad66e95,University of Illinois at Urbana-Champaign,university
4747778c-c74a-4959-88b8-f1dc823f5ead,University of Hong Kong,university
dec4e18e-fdd7-4fa6-aa7a-f1aeec8f0c1f,Lewis-Mora,company
b0fcdc0c-52e8-4de4-943d-7d40140d5b68,Monash University,university
57a146f7-2f83-4cc3-9c7d-9a2c069987a3,Baker and Sons,company
993e675a-792e-42a6-a246-8d57f9a3f5cb,Strong-Weiss,company
2d8f61f9-3877-43d5-9cd7-fe167ee64c85,Durham University,university
c897da31-b7a3-4a57-93d0-b08985edf289,Campbell PLC,company
3a33c06c-7aaa-41c2-854c-a70186755c47,"Goodwin, Burke and Castaneda",company
906cc876-fe85-43bb-a0f0-90f481a07b6f,Australian National University,university
4fe8d204-a111-444e-8b05-e242a700d329,University of São Paulo,university
49d53d37-5d43-42df-b609-180665e75a3e,University of Southampton,university
c0253757-10e4-4cc6-bf16-1c2f31290d32,University of Queensland,university
d7575f19-aad9-46bc-9c63-7b41838b092c,"Jacobson, Frank and Anderson",company
51559fa6-cfd4-4187-8518-74d3336d2bd0,"Deleon, Howell and Wallace",company
c4e76633-479c-4ebe-b5a5-0d9ae07ce263,Brunel University London,university
d09e4e0a-3313-43d2-a0bb-c6cb1b6cb403,Duncan LLC,company
897b07b2-020c-46bf-879c-4b42194d7534,"Smith, Garcia and Wright",company
af826525-959b-484c-8f51-71ee0f972bb4,"Shaffer, Montoya and Fleming",company
b63c5013-7061-41c3-9717-49f4d26511d5,Yale University,university
e9c23a69-b79a-48c7-a916-292e30ace117,McGill University,university
c016e4d8-ce6b-4e26-8a5b-f5f3a030384b,Nunez and Sons,company
684aea43-18d4-4c1c-bfd6-ca1ef09493ba,Princeton University,university
16c46b41-0715-44f2-aba6-c7d2a166e792,King's College London,university
f1833307-e60c-49e6-a971-621947e66f53,Pena-James,company
90bdbf5a-8aec-4919-a06b-ac926fad51fe,University of Southampton,university
1d95ed54-fdd6-4c51-9d6f-0bc5dec3266b,"University of California, San Diego",university
add8d97c-10f3-4aaa-9ff7-a24c79784a02,University of British Columbia,university
5fd4f18c-7af8-4df9-8b07-4d97a0ce9276,"Gonzales, Garner and Thompson",company
d465d3e8-6ea4-4957-9f59-b258a534325e,University of Copenhagen,university
cb241477-8127-48da-975d-acd0a0edbbd1,Humphrey-Snyder,company
ae8c41df-309c-4fec-a45d-8ccde46e87de,Gray-Franklin,company
2526f5aa-755c-41a6-827c-724d56eec2b5,University of Glasgow,university
c6821a82-1272-497e-9e13-914950ff6a8a,Moreno and Sons,company
39d53d67-2250-4cec-af18-9e6e87692443,California Institute of Technology,university
bbaecc83-8538-45af-8aa4-d73c8a0b0608,Harvard University,university
6f661b17-4356-45e3-8016-a300916f167b,Tsinghua University,university
f859ddda-8114-44b1-a854-dee991cf2cc0,Heidelberg University,university
f0286ea8-0c3c-402d-9d60-14ece5c6e175,"Simpson, Burgess and Noble",company
ab895418-b403-483b-a92e-355d4ceea5a0,VU Amsterdam,university
e87743b1-702e-4d5b-98b9-a7d64800a679,Shepherd LLC,company
4536783c-97fe-4474-9d8d-1c6d7cc65581,"City, University of London",university
2df97ed5-2bbd-4bfe-af2f-6d3ddba67177,Leonard-Moore,company
c8f69b08-d32f-4d21-944e-190880a0d33f,Yale University,university
24114df5-7b77-4437-b741-e9464261f7c1,Carter Ltd,company
238c53c7-53f5-48f3-9d1c-dd94f63f73a2,Reid LLC,company
4b0ccc53-6760-45c6-8080-56e37fb93669,Bennett LLC,company
2eb96dbc-d1bf-41b4-a150-e8fe1fd58730,"Hernandez, Morrison and Ward",company
25114784-a46f-4083-abc5-859eebfe1c5f,Clark-Porter,company
1c8d8cd8-d967-4102-8ae5-b06ff137ceae,University of Hong Kong,university
035938ad-cd89-4001-9f53-fba0d7859041,National University of Singapore,university
ad075554-2f0c-4da5-b5a3-14b54093554c,Leiden University,university
444b7ce0-f919-4da2-9a92-d7231b8a7053,London School of Economics and Political Science,university
a7bd1581-ab49-4acd-a704-d3d5c89d4abc,Taylor-Fowler,company
1cd46bf9-f92f-4d17-91f2-f2e5d30a738c,University of Washington,university
327e622c-31dd-492e-8672-9fef28c215f5,Technical University of Munich,university
5aae86f3-9c1a-4e32-9406-98922d550a5a,"Rivera, Garcia and Green",company
061a5f4a-45e6-4150-8f98-6b0ec0baa23d,Lopez Inc,company
7d931d2e-0b6f-46de-83cd-e200c0871c7a,Lewis-Gallagher,company
2be9baee-dc05-4191-89c7-3684e248dc9d,Northwestern University,university
11ed1bb6-24e3-4426-99b0-3cfc3993f394,"Martinez, Clark and Rhodes",company
fd3327fe-7678-4b7d-acc7-b078b8dfe7ef,Delft University of Technology,university
539fdc9f-d96b-4ca5-96d3-4385608fc37e,Myers and Sons,company
ccbcdf10-3200-40bb-82dc-f7da6e990510,Herrera-Moore,company
7c3a559d-a4d3-4b61-aaac-a5eab40248ad,London School of Economics and Political Science,university
a2eb963c-f440-46dc-bc71-5d3832b02c1a,"Ramos, Campbell and Cantu",company
8e77c293-b686-4199-95d9-225a439f4467,University of Southern California,university
dc5bf192-38d6-478d-9203-383364d88f83,"Peters, Kelly and Chavez",company
4da5dceb-9e0f-4c45-9470-cbbdeee4c12d,London School of Economics and Political Science,university
6bbc5ac8-64e2-42b1-bfcd-6cbb916e116c,Shah-Rowe,company
6983f54b-2696-4f15-a85f-0c250a69db4d,Ball Group,company
9a944002-583b-4a17-b18a-d21bdc04c498,ETH Zurich,university
367fe61e-4a38-45d9-92bf-7adcc1eeac93,University of São Paulo,university
88ad451f-1f78-4ce0-9fe5-e310caacb7cf,University of Warwick,university
6dfdb825-29bc-4b29-b851-c116af356165,"Barber, Johnson and Benjamin",company
3160c904-8a66-499d-b689-d348ccc1974d,Clark-Schultz,company
a936d37e-a490-48ac-b57e-13150b721494,Queen Mary University of London,university
2762df91-25f7-4518-b534-3501ddefc70f,University of Texas at Austin,university
3c5c1d9e-9bff-4bb5-a167-d069f34457d9,Harvard University,university
53134347-586f-44a8-83da-6bdb8519fe8f,Leiden University,university
090ac553-d8b1-4fcf-826a-b8f26823e4b5,University of Copenhagen,university
6e355c9b-4758-4e7e-b7d8-3e4c0d71ae5e,University of Leicester,university
b85208d5-dca0-44b9-bc6a-0b223f4d8976,"University of California, San Diego",university
d41b1527-b2f8-443a-8706-7383ec481811,Mcpherson-May,company
ffef1f3c-787c-4b87-a509-468b35c78061,"Liu, Ruiz and Brown",company
1cbb6c51-6774-4f88-9cdb-6b1b6e003f3a,Brunel University London,university
1e96a6e2-b58c-423b-b68b-1092d1dde719,Monash University,university
bb75e8e9-9dee-4656-9000-7806197ca673,Monash University,university
5852464b-bacb-4bc4-bfd3-1e7c76b8acdb,Smith-Russell,company
bed987d5-5cf6-4c8a-a40d-eec40f814031,Fischer-Chavez,company
ff608b7c-9462-4119-9449-ad1c4f9f21c3,Mccarty Group,company
579b620b-889d-43a4-9fb1-e4d6ccb6e908,"Miles, Gould and Jones",company
b95ab619-c58d-4fe0-b11b-92772fd0e0c5,McGill University,university
b300448c-1abf-4462-abec-79b39387f269,Becker LLC,company
d10cba51-8fd1-43fd-bba8-6f52dc091d89,VU Amsterdam,university
c8d3ce89-b5f7-45a5-b1a3-9d1ef7221e5b,Fisher PLC,company
92caa4af-ae7d-4a38-a092-ba31673ca8e2,Tsinghua University,university
4bdfaa1b-9f8f-4a35-addd-c9b582d6ba74,Nunez and Sons,company
61d75843-0be6-4874-b17d-f6600fa6741b,University of Zurich,university
bb522aaa-9c08-46a2-88b5-83ba6c82d109,"Nelson, Barrett and Reid",company
298dce8f-d21e-41dd-9827-ae79d02df690,Moore-Wu,company
a1876b6e-3d79-4d50-a0da-18c41c3622f1,White Inc,company
0f141d6f-2ade-4fb6-ae87-70d44b9987d4,"University of California, San Diego",university
b47d5a55-56ef-4ad1-ae76-261bcd7a7090,University of Illinois at Urbana-Champaign,university
0256381f-2907-4a67-a598-edd132f51712,University of Southern California,university
710b71f9-d9a3-4e39-a34a-6de400863326,Garcia and Sons,company
d60b4874-7d7f-4ea2-9e95-33a8108fffca,University of York,university
ce3418bf-47bf-4e33-a099-627de24b5598,"University of Maryland, College Park",university
50a38da5-8405-4e7c-86cf-4a355e282cf1,Fisher-Lucas,company
53bc98bc-081b-42c0-b9ee-ece663f8e960,University of Reading,university
8333e5a9-4764-42ba-a1bb-e6a777a53511,Rojas-Larsen,company
2a52858f-eb12-429b-b9ed-a2a6b27114e9,Kline Ltd,company
6a36398d-b68b-4d37-a690-ed52f355cb93,University of Hong Kong,university
2321f3c4-e58d-4ae1-ad6d-88a6ebec653d,Hall Ltd,company
5cd3fea9-63e0-40ee-8734-89fbcc2e4db5,"Collins, Rivas and Robles",company
ee578f65-631e-4a89-a89a-4819fa18b9d0,Aguilar-Garza,company
a919c218-d5db-41b5-9c39-7568ac889a7d,Jackson-Woods,company
2437e398-00fb-4ae4-9d9a-d446c9b1b3ae,University of Edinburgh,university
9c66c0ab-3d28-4e2a-bd86-5d72cefb50b3,University of Sheffield,university
fd1711ac-4a3a-4978-a074-bd82d5e7c97e,University of Queensland,university
3af17539-1299-43d3-8398-8ba1d3dbebd4,"Santos, Jones and York",company
163aa3e1-a215-4f1f-8132-38e90be27f9d,Thomas LLC,company
e4d194fa-8ddf-4aee-8727-edc697abbbba,"Palmer, Hernandez and Willis",company
62cecd47-dd1d-4c20-b709-7b3b5b3eb02f,Riley PLC,company
d6b0b268-9624-491c-a9b8-8fcdffbe8266,Seoul National University,university
5cb79e12-c7b5-4092-a298-c23178b8a01a,Mendez-Morgan,company
cfca6d86-de66-485c-9ed5-5dc40a3ba3a9,"Meyer, Martinez and Jones",company
b4d121f8-1a1d-4b65-89df-493833a2d671,"Brown, Wiggins and Blair",company
38d748cc-497f-4725-b454-e77fd27ca9b2,University of Alberta,university
2ffc1abe-1540-4938-8d1e-6597c457188b,Reyes Ltd,company
b05261b1-c747-4264-a292-2de5a055c8cd,Massachusetts Institute of Technology,university
9bf13137-8fc4-4f5e-8853-e155ae3f7908,University of York,university
f194aeba-f63f-4e18-bb0d-d0f346d9a12b,Wheeler and Sons,company
cbfb55c5-192a-4947-bc75-04d220fee83a,University of Western Australia,university
b1ee2996-e991-4d55-9a4f-cfdbd55b1f45,Ellison Ltd,company
3b661437-0643-439c-8a76-9b0a5d03079e,Jensen-Schwartz,company
fe428a66-5f0c-4023-b640-ffe654d22e03,Seoul National University,university
bd32a64f-60ec-469d-acc5-c2a5906af1cc,University of Alberta,university
0c929b1e-0a28-40e4-aec3-e4397047df0b,Universitat Libre De Brussels,university
a1f7378a-db19-43bb-b82e-713f287c87f8,University of Melbourne,university
738e7ada-0ed9-446e-9baa-d50ffbe6df0a,University of Wisconsin-Madison,university
e7a74805-4819-4ccb-83f5-998ec57f8f4b,"Williams, Hayes and White",company
f645cbb6-d5f7-4fcc-b7e8-2f289762c7e0,"Jackson, Brown and Mccoy",company
91eab446-7929-429d-a1f9-a705a6b8dc96,Stokes-Mathis,company
39b9e769-3d24-435e-a6b8-04f6e81a69d9,University of Western Australia,university
c7beff00-55f1-4f41-8aa3-f5266412ecba,Cardiff University,university
5298ff1a-acd3-48e0-ba35-d7d065ba00fb,Johns Hopkins University,university
b6dd8616-a330-43d9-80bd-331695967d4a,University of East Anglia,university
f2f6a74e-511d-4ae7-ab84-6416ee892189,Ruiz Ltd,company
8844887c-ef02-466d-af17-66ca0e8fbce5,Heidelberg University,university
4de7ff97-7c4c-4701-9d7c-2b7e90685033,Johnson-Munoz,company
0970cfb4-dbfc-4f6d-bb24-f2775b5adc50,Thompson and Sons,company
ebd9a2d3-5bb3-46cf-886b-6b36104f9555,Brunel University London,university
c2d1fd5d-237d-49cd-acca-94e96fe86e42,"Dunn, Rush and Flores",company
fc52cf94-a1dd-43ea-93c3-3f28cef84425,"Herrera, Wright and Wilson",company
b985a0df-2e50-4e0e-9a6e-c8bfed2cbf3f,"Richards, Cohen and Rivera",company
bf83ec52-0011-4e31-837e-87bfe905dcec,"University of California, Davis",university
9489173e-a4cb-42af-b016-4dda9681d543,"Alvarez, Warren and Barnes",company
fdb2f4df-30f0-47e2-bd3b-f26aafbf8c38,"Johnson, Gonzales and Thompson",company
678b0831-c999-4946-a586-a4e6f4b796c6,Moore Ltd,company
4d343d6b-135b-4774-989f-5a36a36019fb,Universitat Libre De Brussels,university
de7b3371-b5e7-49cb-9bf5-6d76572859da,Taylor-Smith,company
ceef80c6-ef9a-4c98-bffc-891ea1054012,University of Southern California,university
615b571e-09f8-4af5-bd08-d8d2c7177760,Barber Group,company
2a1e3606-b4f4-4547-a68b-b7faac354d0e,University of Chicago,university
b388e8b8-4320-44b3-9950-b4315d2f2be2,Anderson-Taylor,company
1bedc9db-8542-4ac7-9082-08f8678241d5,Princeton University,university
891024c1-dbd7-4d9f-86fb-7707029d8989,Utrecht University,university
ae73ce2d-219a-4107-999b-f09cc7a23458,Mata-Hunt,company
532cd2be-f325-4d63-a7e5-26f4bc6c130f,University of Pennsylvania,university
fcf5656e-3df8-4612-a30f-701b86f0a672,Yale University,university
6333c1fd-29c4-40a6-be5c-a4f4fc1ed920,"Knight, Nguyen and Sullivan",company
3b7375a8-e1d1-4209-8cbf-2b9d69b4e194,"Hill, Hodge and Gilbert",company
eb57dd92-acd1-4a94-9c04-8d1585e7e269,University of Wisconsin-Madison,university
ece0bdf4-8641-4956-a640-76a48bb0111e,Andersen Group,company
fe90fcf1-5299-4c3b-beec-09fe269fa07c,Harvard University,university
e9027391-46a5-48bb-966c-e0835c21b2e7,"Koch, Anderson and Howard",company
99bc490b-e3fa-4ba2-a7d2-b20773cb1e19,Watson-Rodriguez,company
5348330c-24ee-46e7-8bb5-9f360348d313,"City, University of London",university
74eaa2ca-6979-4959-9645-6110b9e79dbe,"Schultz, Stevenson and Sanford",company
a30c328b-9615-492a-820d-2dda933883fe,University of Essex,university
901f438f-94de-4831-abbc-e2df155bd6e0,University of São Paulo,university
912f92b9-9e35-40cd-90c3-195e946cc328,London School of Economics and Political Science,university
2f9be4ef-10f6-4743-a6e1-8d5f956b8e52,"Russo, Butler and Nichols",company
b650e9eb-5290-46ef-8ed0-8526dead8bbf,"City, University of London",university
3148aafa-6a53-4516-9f70-73a600c9ccd4,Bryant Ltd,company
359ca18b-c11a-4029-b430-51bda424bbea,Weber Ltd,company
7d9329c6-5e05-493f-9008-d54ab03a6e81,Henry Ltd,company
8d66af13-2350-4cba-a7ea-7cdae689feda,Imperial College London,university
d94a06df-a3e5-4481-ae30-fec1557a0079,Todd Group,company
c9e98991-3899-40dc-92fb-878e7d1c0bda,Imperial College London,university
c51641aa-7f30-40a8-b2d9-e8f620b4bf05,Cooper-Wilcox,company
845d64d5-cb25-4d61-94c1-d72206d5f9b5,University of Helsinki,university
67aef7b2-4277-45ef-ad4e-7ea11006aa2c,University of Surrey,university
1d4d2b68-373f-483e-9114-62e7e87d59ed,Ludwig Maximilian University of Munich,university
0bb194bc-0855-4f68-9912-433837dd4629,Heidelberg University,university
9ee640b2-f8e9-4ae8-866a-48309a7a15b5,Wyatt-Thomas,company
588543cb-0b42-4246-a7ae-bbe23df40179,Rivera Group,company
bed08220-8353-45dd-b4be-69eec0e91dd3,"Martinez, Shepard and Powell",company
748c5e42-7f72-4c10-a95b-8be5045fbccb,Wagner Ltd,company
b8900d77-47b8-40b2-8aaa-0540d14a56cc,Salazar-Levine,company
9f6c8d8c-1fcb-494a-be39-32b36d6e1b72,University of Illinois at Urbana-Champaign,university
3bb7396b-fdc8-4050-94b8-99b75be52636,Johns Hopkins University,university
f28324c8-6bf5-4d48-99c6-b3bd6c5455b6,"Foster, Cunningham and Norris",company
ddde705d-02c0-4ef9-b7e6-c46758dfb30c,University of Texas at Austin,university
722a188a-c39e-4822-a12c-3b2f705b1912,"Scott, Sutton and Day",company
3f7b9adc-3888-4aa6-99e3-408f6569af27,Technical University of Munich,university
3b886ed4-c0b0-4a10-87ea-41e67335123c,University of Reading,university
adda032c-65e4-43d7-84ea-73e20ad815a9,University of New South Wales,university
c6fe3a5d-a34c-4f6d-858e-17d6b2bf8713,Pitts-Crawford,company
fc9c9516-078a-4477-b8a8-87ba924211bf,Tsinghua University,university
90854971-1483-430b-af59-de72f40572e0,Grimes-Hughes,company
f2e6a66a-aedd-40f3-94c4-5da1c9fd33d1,Giles Group,company
ea8a35ff-a344-4e9e-8f01-460ce30cc180,University of York,university
eb9464a1-e25c-4950-897a-25173c744186,University of Essex,university
a937ab63-2276-4439-941f-96ad584a6278,Technical University of Munich,university
32979516-a6cb-461e-8e71-416da510abc9,"Navarro, Cox and Cox",company
91380b94-c66c-466d-b1ba-6ae8757bc639,University of São Paulo,university
c274851b-f510-4a4f-9a3d-ed50a85eee02,"University of California, Berkeley",university
fd27b865-5aa0-46eb-94e2-a7f2e8a32279,University of Groningen,university
abbf7dda-4df1-4b33-84b3-d9e4792faedb,University of Oxford,university
0a9f9f2b-8050-4478-a4ce-cae8402c354c,University of East Anglia,university
f1447580-c139-4046-b948-773344332f89,New York University,university
82c7c393-6a01-4d9d-b9bc-425d6e130280,University of Alberta,university
881ea38b-000f-40a5-a23d-53a084afb267,Anderson-Smith,company
da18da90-acb1-4a41-9b10-a6fc99c3ffa4,"Johnston, Wilson and Moss",company
f34928ce-d495-48ab-bd00-74ee906b380e,Durham University,university
cc462f86-d702-4789-93ba-ac26dce83c18,King's College London,university
fd3be560-3370-4501-985c-8f45624d987f,Roberts-Ward,company
d31bb4de-2456-4bef-9838-5cd69a817ef2,"Birkbeck, University of London",university
91c19892-dbd8-4563-8a6b-63d4c643e1b3,"Little, Smith and Mccormick",company
9a26be4e-0152-4cbe-8c08-7f36359e30a1,Thomas and Sons,company
61643b6d-627a-4f6d-95ef-6c37508c7abe,Roman and Sons,company
6c739f30-7aa6-46bd-af85-7a41580fb876,Stanford University,university
039ca4a4-5775-459c-bab3-4b2c51508978,Kyoto University,university
734f4f3c-2ebc-44d2-ab5c-622bb8df94f4,Phillips Ltd,company
95cb4e43-cdae-4251-808e-f80a51b88195,Mercado Group,company
298cb1e7-0402-4048-b48f-f38257758fee,Lancaster University,university
bc075724-eaed-4829-926d-89702eca9471,"Munoz, Watson and Pace",company
0c21be23-291c-4b6e-8195-8191f607674e,Santos PLC,company
add9c090-4a10-42ac-bbb4-e655bf67630f,University of Exeter,university
5153243d-572b-44f7-964e-d8d82dd29223,University of Bath,university
c2f70f58-c9c8-4164-aa11-a3094be75720,University of Western Australia,university
