Publication,papersInCommunity,totalPapers,Type
International Journal of Systematic and Evolutionary Microbiology,2,2,['Journal']
"IEEE International Conference on Electrical, Computer and Communication Technologies",1,1,['Conference']
BMC Health Services Research,1,1,['Journal']
Data Intelligence,1,1,['Journal']
Applied Stochastic Models in Business and Industry,1,1,['Journal']
International Conference on Extending Database Technology,1,1,['Conference']
Genome Research,1,1,['Journal']
"International Conference on Teaching, Assessment, and Learning for Engineering",1,1,['Conference']
Journal of Medical Systems,1,1,['Journal']
Journal of Medical Internet Research,1,1,['Journal']
ArXiv,3,3,['Journal']
J. Mach. Learn. Res.,3,3,['Journal']
International Conference on Intelligent Computing,1,1,['Conference']
Software Quality Journal,1,1,['Journal']
Applied Nanoscience,1,1,['Journal']
ACM Computing Surveys,2,2,['Journal']
ACM Computing Surveys (CSUR),2,2,['Journal']
IEEE International Enterprise Distributed Object Computing Conference,1,1,['Conference']
British Machine Vision Conference,2,2,['Conference']
IEEE/RJS International Conference on Intelligent RObots and Systems,1,1,['Conference']
International Conference on Intelligent User Interfaces,1,1,['Conference']
"Acta crystallographica. Section B, Structural science",1,1,['Journal']
Nature Reviews Molecular Cell Biology,1,1,['Journal']
Metabolomics,1,1,['Journal']
Journal of Library Administration,1,1,['Journal']
Nature Machine Intelligence,4,4,['Journal']
International Conference on Data Technologies and Applications,1,1,['Conference']
Journal of Epidemiology and Community Health,1,1,['Journal']
Mammalian Genome,1,1,['Journal']
International Journal of Data Science and Analytics,2,2,['Journal']
Electronics,1,1,['Journal']
Communications of the ACM,3,3,['Journal']
Patterns,1,1,['Journal']
International Conference on Computational Logic,1,1,['Conference']
Vision,1,1,['Conference']
Human Language Technology - The Baltic Perspectiv,1,1,['Conference']
International Journal of Computer Vision,5,5,['Journal']
International Database Engineering and Applications Symposium,1,1,['Conference']
Reviews of Modern Physics,1,1,['Journal']
"Shanlax International Journal of Arts, Science and Humanities",1,1,['Journal']
BMC Genomics,1,1,['Journal']
Language Resources and Evaluation,1,1,['Journal']
Journal of Cheminformatics,2,2,['Journal']
Int. J. Data Warehous. Min.,1,1,['Journal']
Anesthesia & Analgesia,1,1,['Journal']
Journal of rehabilitation research and development,1,1,['Journal']
Science,1,1,['Journal']
European Symposium on Programming,1,1,['Conference']
Annual Conference of the IEEE Industrial Electronics Society,1,1,['Conference']
Italian National Conference on Sensors,3,3,['Conference']
IEEE Network,1,1,['Journal']
IEEE International Conference on Computer Vision,4,4,['Conference']
IOTA Programming System,1,1,['Conference']
ACM Transactions on Intelligent Systems and Technology (TIST),1,1,['Journal']
Journal of molecular biology,1,1,['Journal']
Extended Semantic Web Conference,1,1,['Conference']
Knowledge Discovery and Data Mining,1,1,['Conference']
Cytogenetic and Genome Research,1,1,['Journal']
Symposium on the Theory of Computing,1,1,['Conference']
IEEE Transactions on Automation Science and Engineering,1,1,['Journal']
Analytical chemistry,1,1,['Journal']
International Journal of Digital Earth,1,1,['Journal']
Journal of Biomolecular NMR,1,1,['Journal']
International Conference on Data Warehousing and Knowledge Discovery,1,1,['Conference']
Journal of Librarianship and Information Science,1,1,['Journal']
Nature Human Behaviour,1,1,['Journal']
Journal of the Learning Sciences,1,1,['Journal']
IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology,1,1,['Conference']
Engineering,1,1,['Journal']
European Conference on Software Architecture,1,1,['Conference']
BMC Medical Informatics and Decision Making,1,1,['Journal']
Entropy,1,1,['Journal']
J. King Saud Univ. Comput. Inf. Sci.,1,1,['Journal']
Annual Meeting of the Association for Computational Linguistics,1,1,['Conference']
International Journal of Environmental Research and Public Health,1,1,['Journal']
International Conference on Signal Processing Systems,1,1,['Conference']
Journal of Organizational Computing and Electronic Commerce,1,1,['Journal']
International Conference on Machine Learning,1,1,['Conference']
Nature Biotechnology,1,1,['Journal']
World Summit on the Knowledge Society,1,1,['Conference']
Nature Reviews Materials,1,1,['Journal']
Comput. J.,1,1,['Journal']
Computer-Aided Architectural Design Futures,1,1,['Conference']
International Conference on Computational Statistics,1,1,['Conference']
Ethics and Information Technology,1,1,['Journal']
Frontiers in Environmental Science,1,1,['Journal']
Software: Practice and Experience,1,1,['Journal']
TOP,1,1,['Journal']
Plant Physiology,1,1,['Journal']
Small Business Economics,1,1,['Journal']
Chemical Science,1,1,['Journal']
Irish Journal of Medical Science,1,1,['Journal']
Journal of Biosciences,1,1,['Journal']
BMC Plant Biology,1,1,['Journal']
Br. J. Educ. Technol.,1,1,['Journal']
International Summit on eHealth,1,1,['Conference']
International journal of neural systems,1,1,['Journal']
Nature Communications,1,1,['Journal']
The International Journal of Life Cycle Assessment,1,1,['Journal']
J. Organ. End User Comput.,1,1,['Journal']
Decision Support Systems,1,1,['Conference']
Mobile DNA,1,1,['Journal']
Network and Distributed System Security Symposium,1,1,['Conference']
Electronic Markets,1,1,['Journal']
IFIP Working Conference on Database Semantics,1,1,['Conference']
Int. J. Inf. Decis. Sci.,1,1,['Journal']
International Journal of Intelligent Systems,1,1,['Journal']
Pattern Recognit.,1,1,['Journal']
International Conference on Computational Collective Intelligence,1,1,['Conference']
Information Systems & Economics eJournal,1,1,['Journal']
Ingeniería e Investigación,1,1,['Journal']
Technometrics,1,1,['Journal']
IEEE Transactions on Signal Processing,1,1,['Journal']
The American Statistician,1,1,['Journal']
Journal of Applied Science and Technology Trends,1,1,['Journal']
