AuthorName,paperTitles,TopPapersCount
Universidad Ana G. M'endez,['Diversifying the genomic data science research community'],1
Department of Math,['Diversifying the genomic data science research community'],1
E. Paso,['Diversifying the genomic data science research community'],1
Kalispell,['Diversifying the genomic data science research community'],1
Chemical,['Diversifying the genomic data science research community'],1
Department of Mathematical Sciences,"['Diversifying the genomic data science research community', 'Diversifying the genomic data science research community']",2
L. Best,['Diversifying the genomic data science research community'],1
USA.,['Diversifying the genomic data science research community'],1
Sourav Roy,['Diversifying the genomic data science research community'],1
Carla L. Easter,['Diversifying the genomic data science research community'],1
Miguel P. M'endez-Gonz'alez,['Diversifying the genomic data science research community'],1
University of Hawaii at Manoa,['Diversifying the genomic data science research community'],1
U. California,"['Diversifying the genomic data science research community', 'Diversifying the genomic data science research community']",2
J. Leek,"['Diversifying the genomic data science research community', 'The Democratization of Data Science Education']",2
School of Historical Studies,['Diversifying the genomic data science research community'],1
Germantown,['Diversifying the genomic data science research community'],1
Fresno,['Diversifying the genomic data science research community'],1
E. Martinez,['Diversifying the genomic data science research community'],1
El Paso Community College,['Diversifying the genomic data science research community'],1
Spelman College,['Diversifying the genomic data science research community'],1
N. Health,['Diversifying the genomic data science research community'],1
Rachel Arnold,['Diversifying the genomic data science research community'],1
Carnegie Institution,['Diversifying the genomic data science research community'],1
K. Fuller,['Diversifying the genomic data science research community'],1
Stephen L Mosher,['Diversifying the genomic data science research community'],1
Morehouse School of Medicine,['Diversifying the genomic data science research community'],1
New York.,['Diversifying the genomic data science research community'],1
Md,['Diversifying the genomic data science research community'],1
Fort Lewis College,['Diversifying the genomic data science research community'],1
Department of Mathematical Sciences,"['Diversifying the genomic data science research community', 'Diversifying the genomic data science research community']",2
Department of Medical Biology,['Diversifying the genomic data science research community'],1
Christina R. Daulton,['Diversifying the genomic data science research community'],1
Maria Alvarez,['Diversifying the genomic data science research community'],1
Aguadilla,['Diversifying the genomic data science research community'],1
Smithsonian Institute National Museum of Natural History,['Diversifying the genomic data science research community'],1
Biology,['Diversifying the genomic data science research community'],1
Northern Virginia Community College - Alexandria,['Diversifying the genomic data science research community'],1
Tuba City,['Diversifying the genomic data science research community'],1
Biological Sciences,['Diversifying the genomic data science research community'],1
Ga,['Diversifying the genomic data science research community'],1
Wi,['Diversifying the genomic data science research community'],1
S. Pratap,['Diversifying the genomic data science research community'],1
Department of Molecular,['Diversifying the genomic data science research community'],1
ScienceTechnology,['Diversifying the genomic data science research community'],1
Alexandria,['Diversifying the genomic data science research community'],1
Tn,['Diversifying the genomic data science research community'],1
Ny,['Diversifying the genomic data science research community'],1
Data Science,['Diversifying the genomic data science research community'],1
Rockville,['Diversifying the genomic data science research community'],1
University of Puerto Rico,['Diversifying the genomic data science research community'],1
Onalaska,['Diversifying the genomic data science research community'],1
Baltimore.,['Diversifying the genomic data science research community'],1
Nv,['Diversifying the genomic data science research community'],1
N. Kucher,['Diversifying the genomic data science research community'],1
Rosa M Alcazar,['Diversifying the genomic data science research community'],1
Atlanta,['Diversifying the genomic data science research community'],1
U. O. T. A. E. Paso,['Diversifying the genomic data science research community'],1
Johns Hopkins Bloomberg School of Public Health,['Diversifying the genomic data science research community'],1
Statistics,['Diversifying the genomic data science research community'],1
Sc,['Diversifying the genomic data science research community'],1
J. Leek,"['Diversifying the genomic data science research community', 'The Democratization of Data Science Education']",2
Biochemistry,['Diversifying the genomic data science research community'],1
Nd,['Diversifying the genomic data science research community'],1
M. Nishiguchi,['Diversifying the genomic data science research community'],1
Belcourt,['Diversifying the genomic data science research community'],1
Henderson,['Diversifying the genomic data science research community'],1
S. Sen,['Diversifying the genomic data science research community'],1
Rachel Saidi,['Diversifying the genomic data science research community'],1
K. Watson,['Diversifying the genomic data science research community'],1
Co,['Diversifying the genomic data science research community'],1
V. S. University,['Diversifying the genomic data science research community'],1
Loyda B. M'endez,['Diversifying the genomic data science research community'],1
M. M. College,['Diversifying the genomic data science research community'],1
K. Chowdhury,['Diversifying the genomic data science research community'],1
Cell Biology,['Diversifying the genomic data science research community'],1
Department of Embryology,['Diversifying the genomic data science research community'],1
J. Sniezek,['Diversifying the genomic data science research community'],1
Az,['Diversifying the genomic data science research community'],1
Youping Deng,['Diversifying the genomic data science research community'],1
W. Westbroek,['Diversifying the genomic data science research community'],1
Va,['Diversifying the genomic data science research community'],1
D. Chemistry,['Diversifying the genomic data science research community'],1
Joslynn S. Lee,['Diversifying the genomic data science research community'],1
Northwest Indian College,['Diversifying the genomic data science research community'],1
Nevada State College,['Diversifying the genomic data science research community'],1
Merced,['Diversifying the genomic data science research community'],1
Durango,['Diversifying the genomic data science research community'],1
D. Microbiology,['Diversifying the genomic data science research community'],1
Tx,['Diversifying the genomic data science research community'],1
Lidia Contreras-Ochando,['CRISP-DM Twenty Years Later: From Data Mining Processes to Data Science Trajectories'],1
N. Lachiche,['CRISP-DM Twenty Years Later: From Data Mining Processes to Data Science Trajectories'],1
José Hernández Orallo,['CRISP-DM Twenty Years Later: From Data Mining Processes to Data Science Trajectories'],1
Fernando Martínez-Plumed,['CRISP-DM Twenty Years Later: From Data Mining Processes to Data Science Trajectories'],1
Meelis Kull,['CRISP-DM Twenty Years Later: From Data Mining Processes to Data Science Trajectories'],1
P. Flach,['CRISP-DM Twenty Years Later: From Data Mining Processes to Data Science Trajectories'],1
M. J. R. Quintana,['CRISP-DM Twenty Years Later: From Data Mining Processes to Data Science Trajectories'],1
C. Ferri,['CRISP-DM Twenty Years Later: From Data Mining Processes to Data Science Trajectories'],1
Cherkeng Heng,['Nucleus segmentation across imaging experiments: the 2018 Data Science Bowl'],1
Kyle W. Karhohs,['Nucleus segmentation across imaging experiments: the 2018 Data Science Bowl'],1
Marzieh Haghighi,['Nucleus segmentation across imaging experiments: the 2018 Data Science Bowl'],1
B. Cimini,['Nucleus segmentation across imaging experiments: the 2018 Data Science Bowl'],1
C. McQuin,['Nucleus segmentation across imaging experiments: the 2018 Data Science Bowl'],1
M. Rohban,['Nucleus segmentation across imaging experiments: the 2018 Data Science Bowl'],1
Juan C. Caicedo,['Nucleus segmentation across imaging experiments: the 2018 Data Science Bowl'],1
Jeanelle Ackerman,['Nucleus segmentation across imaging experiments: the 2018 Data Science Bowl'],1
Anne E Carpenter,['Nucleus segmentation across imaging experiments: the 2018 Data Science Bowl'],1
Tim Becker,['Nucleus segmentation across imaging experiments: the 2018 Data Science Bowl'],1
Shantanu Singh,['Nucleus segmentation across imaging experiments: the 2018 Data Science Bowl'],1
A. Goodman,['Nucleus segmentation across imaging experiments: the 2018 Data Science Bowl'],1
M. Doan,['Nucleus segmentation across imaging experiments: the 2018 Data Science Bowl'],1
W. Budiharto,['Data science approach to stock prices forecasting in Indonesia during Covid-19 using Long Short-Term Memory (LSTM)'],1
A. Comber,['Opening practice: supporting reproducibility and critical spatial data science'],1
C. Brunsdon,['Opening practice: supporting reproducibility and critical spatial data science'],1
Jason Tsay,"['How Data Science Workers Work with Data: Discovery, Capture, Curation, Design, Creation']",1
Dakuo Wang,"['How Data Science Workers Work with Data: Discovery, Capture, Curation, Design, Creation']",1
David Piorkowski,"['How Data Science Workers Work with Data: Discovery, Capture, Curation, Design, Creation']",1
Casey Dugan,"['How Data Science Workers Work with Data: Discovery, Capture, Curation, Design, Creation']",1
Casey Dugan,"['How Data Science Workers Work with Data: Discovery, Capture, Curation, Design, Creation']",1
Ingrid Lange,"['How Data Science Workers Work with Data: Discovery, Capture, Curation, Design, Creation']",1
T. Erickson,"['How Data Science Workers Work with Data: Discovery, Capture, Curation, Design, Creation']",1
Michael J. Muller,"['How Data Science Workers Work with Data: Discovery, Capture, Curation, Design, Creation']",1
Dakuo Wang,"['How Data Science Workers Work with Data: Discovery, Capture, Curation, Design, Creation']",1
Dakuo Wang,"['How Data Science Workers Work with Data: Discovery, Capture, Curation, Design, Creation']",1
Dakuo Wang,"['How Data Science Workers Work with Data: Discovery, Capture, Curation, Design, Creation']",1
Q. Liao,"['How Data Science Workers Work with Data: Discovery, Capture, Curation, Design, Creation']",1
Casey Dugan,"['How Data Science Workers Work with Data: Discovery, Capture, Curation, Design, Creation']",1
Michael J. Muller,"['How Data Science Workers Work with Data: Discovery, Capture, Curation, Design, Creation']",1
Michael J. Muller,"['How Data Science Workers Work with Data: Discovery, Capture, Curation, Design, Creation']",1
Annika Reinke,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
S. Speidel,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
T. Adler,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
M. Apitz,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
S. Seidlitz,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
Peter M. Full,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
Tornike Davitashvili,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
J. Gröhl,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
Melanie Schellenberg,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
Patrick Scholz,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
T. Ross,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
H. Kenngott,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
M. Tizabi,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
M. Wagner,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
D. Filimon,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
Hellena Hempe,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
A. Kisilenko,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
Benjamin Müller,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
T. Y. E. Lai,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
Veith Roethlingshoefer,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
M. Mengler,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
Sebastian Bittel,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
B. Müller-Stich,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
T. Tran,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
Matthias Eisenmann,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
Fabian Both,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
Manuela Capek,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
L. Maier-Hein,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
S. Bodenstedt,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
Pierangela Bruno,['Heidelberg colorectal data set for surgical data science in the sensor operating room'],1
Bradley Voytek,['Teaching Creative and Practical Data Science at Scale'],1
Thomas Donoghue,['Teaching Creative and Practical Data Science at Scale'],1
Shannon E. Ellis,['Teaching Creative and Practical Data Science at Scale'],1
J. Pei,['A Survey on Data Pricing: From Economics to Data Science'],1
Zeynep Engin,['Algorithmic Government: Automating Public Services and Supporting Civil Servants in using Data Science Technologies'],1
P. Treleaven,['Algorithmic Government: Automating Public Services and Supporting Civil Servants in using Data Science Technologies'],1
C. Baker,"['Data Science in 2020: Computing, Curricula, and Challenges for the Next 10 Years']",1
Rebecca E. Gasper,"['Data Science in 2020: Computing, Curricula, and Challenges for the Next 10 Years']",1
Aimee Schwab-McCoy,"['Data Science in 2020: Computing, Curricula, and Challenges for the Next 10 Years']",1
Kevin Innerebner,['SystemDS: A Declarative Machine Learning System for the End-to-End Data Science Lifecycle'],1
Matthias Boehm,['SystemDS: A Declarative Machine Learning System for the End-to-End Data Science Lifecycle'],1
Arnab Phani,['SystemDS: A Declarative Machine Learning System for the End-to-End Data Science Lifecycle'],1
Benjamin Rath,['SystemDS: A Declarative Machine Learning System for the End-to-End Data Science Lifecycle'],1
I. Antonov,['SystemDS: A Declarative Machine Learning System for the End-to-End Data Science Lifecycle'],1
Mark Dokter,['SystemDS: A Declarative Machine Learning System for the End-to-End Data Science Lifecycle'],1
Florijan Klezin,['SystemDS: A Declarative Machine Learning System for the End-to-End Data Science Lifecycle'],1
Stefanie N. Lindstaedt,['SystemDS: A Declarative Machine Learning System for the End-to-End Data Science Lifecycle'],1
Robert Ginthoer,['SystemDS: A Declarative Machine Learning System for the End-to-End Data Science Lifecycle'],1
J. Saltz,['Data science ethical considerations: a systematic literature review and proposed project framework'],1
Neil I. Dewar,['Data science ethical considerations: a systematic literature review and proposed project framework'],1
S. Jarvis,['Data Science of the Natural Environment: A Research Roadmap'],1
E. Eastoe,['Data Science of the Natural Environment: A Research Roadmap'],1
P. Young,['Data Science of the Natural Environment: A Research Roadmap'],1
G. Blair,['Data Science of the Natural Environment: A Research Roadmap'],1
P. Henrys,['Data Science of the Natural Environment: A Research Roadmap'],1
J. Watkins,['Data Science of the Natural Environment: A Research Roadmap'],1
A. Leeson,['Data Science of the Natural Environment: A Research Roadmap'],1
A. L. Pinto,['Data science in data librarianship: Core competencies of a data librarian'],1
Helen Beatriz Frota Rozados,['Data science in data librarianship: Core competencies of a data librarian'],1
Alexandre Ribas Semeler,['Data science in data librarianship: Core competencies of a data librarian'],1
Michelle Wilkerson,['Situating Data Science: Exploring How Relationships to Data Shape Learning'],1
J. Polman,['Situating Data Science: Exploring How Relationships to Data Shape Learning'],1
Daniel Arribas-Bel,['Geographic Data Science'],1
A. Singleton,['Geographic Data Science'],1
Sean Kross,['The Democratization of Data Science Education'],1
R. Peng,['The Democratization of Data Science Education'],1
Sean Kross,['The Democratization of Data Science Education'],1
Ira Gooding,['The Democratization of Data Science Education'],1
B. Caffo,['The Democratization of Data Science Education'],1
B. Borah,['Developing a standardized healthcare cost data warehouse'],1
S. Anderson,['Developing a standardized healthcare cost data warehouse'],1
S. Visscher,['Developing a standardized healthcare cost data warehouse'],1
B. Yawn,['Developing a standardized healthcare cost data warehouse'],1
M. Reinalda,['Developing a standardized healthcare cost data warehouse'],1
J. Naessens,['Developing a standardized healthcare cost data warehouse'],1
R. Randriatoamanana,['Datawarehouser: A data warehouse artist who have ability to understand data warehouse schema pictures'],1
Harco Leslie Hendric Spits Wamars,['Datawarehouser: A data warehouse artist who have ability to understand data warehouse schema pictures'],1
Neveen Elgamal,['Data warehouse testing'],1
A. El-Bastawissy,['Data warehouse testing'],1
G. Galal-Edeen,['Data warehouse testing'],1
A. El-Bastawissy,['Data warehouse testing'],1
Yohannes Kurniawan,['Use data warehouse and data mining to predict student academic performance in schools: A case study (perspective application and benefits)'],1
Erwin Ardianto Halim,['Use data warehouse and data mining to predict student academic performance in schools: A case study (perspective application and benefits)'],1
Evans Rs,['Clinical Use of an Enterprise Data Warehouse'],1
Pierce La,['Clinical Use of an Enterprise Data Warehouse'],1
Lloyd Jf,['Clinical Use of an Enterprise Data Warehouse'],1
K. Devi,['Materialised view construction in data warehouse for decision making'],1
T. Kumar,['Materialised view construction in data warehouse for decision making'],1
K.L. Choy,['Design and application of Internet of things-based warehouse management system for smart logistics'],1
K. Ng,['Design and application of Internet of things-based warehouse management system for smart logistics'],1
Y. Lv,['Design and application of Internet of things-based warehouse management system for smart logistics'],1
C.K.M. Lee,['Design and application of Internet of things-based warehouse management system for smart logistics'],1
W. Ho,['Design and application of Internet of things-based warehouse management system for smart logistics'],1
Jin Deng,['The Data Mining of the Human Resources Data Warehouse in University Based on Association Rule'],1
Dan Zhang,['The Data Mining of the Human Resources Data Warehouse in University Based on Association Rule'],1
S. Rizzi,['Data Warehouse Testing'],1
S. Rizzi,['Data Warehouse Testing'],1
M. Golfarelli,['Data Warehouse Testing'],1
M. Golfarelli,['Data Warehouse Testing'],1
M. Golfarelli,['Data Warehouse Testing'],1
M. Golfarelli,['Data Warehouse Testing'],1
S. Rizzi,['Data Warehouse Testing'],1
M. Golfarelli,['Data Warehouse Testing'],1
S. Rizzi,['Data Warehouse Testing'],1
S. Rizzi,['Data Warehouse Testing'],1
Chen-Pin Wang,['VHA Corporate Data Warehouse height and weight data: opportunities and challenges for health services research.'],1
Mary Jo Pugh,['VHA Corporate Data Warehouse height and weight data: opportunities and challenges for health services research.'],1
Helen P. Hazuda,['VHA Corporate Data Warehouse height and weight data: opportunities and challenges for health services research.'],1
A. E. Lancaster,['VHA Corporate Data Warehouse height and weight data: opportunities and challenges for health services research.'],1
P. H. Noël,['VHA Corporate Data Warehouse height and weight data: opportunities and challenges for health services research.'],1
Mary J. Bollinger,['VHA Corporate Data Warehouse height and weight data: opportunities and challenges for health services research.'],1
Laurel A. Copeland,['VHA Corporate Data Warehouse height and weight data: opportunities and challenges for health services research.'],1
Ruth A. Perrin,['VHA Corporate Data Warehouse height and weight data: opportunities and challenges for health services research.'],1
Thilini Ariyachandra,['Key organizational factors in data warehouse architecture selection'],1
H. Watson,['Key organizational factors in data warehouse architecture selection'],1
R. Accorsi,['Warehouse management system customization and information availability in 3pl companies'],1
Giulia Baruffaldi,['Warehouse management system customization and information availability in 3pl companies'],1
R. Manzini,['Warehouse management system customization and information availability in 3pl companies'],1
D. Zumstein,['A Fuzzy Data Warehouse Approach for Web Analytics'],1
Daniel Fasel,['A Fuzzy Data Warehouse Approach for Web Analytics'],1
Mohammad Rifaie,['Data modelling for effective data warehouse architecture and design'],1
R. Alhajj,['Data modelling for effective data warehouse architecture and design'],1
M. Ridley,['Data modelling for effective data warehouse architecture and design'],1
K. Kianmehr,['Data modelling for effective data warehouse architecture and design'],1
Zheng Shao,['RCFile: A fast and space-efficient data placement structure in MapReduce-based warehouse systems'],1
Namit Jain,['RCFile: A fast and space-efficient data placement structure in MapReduce-based warehouse systems'],1
Yin Huai,['RCFile: A fast and space-efficient data placement structure in MapReduce-based warehouse systems'],1
Xiaodong Zhang,['RCFile: A fast and space-efficient data placement structure in MapReduce-based warehouse systems'],1
Zhiwei Xu,['RCFile: A fast and space-efficient data placement structure in MapReduce-based warehouse systems'],1
Zheng Shao,['RCFile: A fast and space-efficient data placement structure in MapReduce-based warehouse systems'],1
Yongqiang He,['RCFile: A fast and space-efficient data placement structure in MapReduce-based warehouse systems'],1
Namit Jain,['RCFile: A fast and space-efficient data placement structure in MapReduce-based warehouse systems'],1
Rubao Lee,['RCFile: A fast and space-efficient data placement structure in MapReduce-based warehouse systems'],1
M. Piattini,['Empirical studies to assess the understandability of data warehouse schemas using structural metrics'],1
H. Sahraoui,['Empirical studies to assess the understandability of data warehouse schemas using structural metrics'],1
M. Serrano,['Empirical studies to assess the understandability of data warehouse schemas using structural metrics'],1
C. Calero,['Empirical studies to assess the understandability of data warehouse schemas using structural metrics'],1
W. Woo,['Convolutional LSTM Network: A Machine Learning Approach for Precipitation Nowcasting'],1
Xingjian Shi,['Convolutional LSTM Network: A Machine Learning Approach for Precipitation Nowcasting'],1
Hao Wang,['Convolutional LSTM Network: A Machine Learning Approach for Precipitation Nowcasting'],1
D. Yeung,['Convolutional LSTM Network: A Machine Learning Approach for Precipitation Nowcasting'],1
Zhourong Chen,['Convolutional LSTM Network: A Machine Learning Approach for Precipitation Nowcasting'],1
W. Wong,['Convolutional LSTM Network: A Machine Learning Approach for Precipitation Nowcasting'],1
Michael I. Jordan,"['Machine learning: Trends, perspectives, and prospects']",1
T. Mitchell,"['Machine learning: Trends, perspectives, and prospects']",1
A. Galstyan,['A Survey on Bias and Fairness in Machine Learning'],1
N. Saxena,['A Survey on Bias and Fairness in Machine Learning'],1
Ninareh Mehrabi,['A Survey on Bias and Fairness in Machine Learning'],1
Kristina Lerman,['A Survey on Bias and Fairness in Machine Learning'],1
Fred Morstatter,['A Survey on Bias and Fairness in Machine Learning'],1
Alexandre Passos,['Scikit-learn: Machine Learning in Python'],1
B. Thirion,['Scikit-learn: Machine Learning in Python'],1
Ron Weiss,['Scikit-learn: Machine Learning in Python'],1
E. Duchesnay,['Scikit-learn: Machine Learning in Python'],1
P. Prettenhofer,['Scikit-learn: Machine Learning in Python'],1
J. Vanderplas,['Scikit-learn: Machine Learning in Python'],1
Gilles Louppe,['Scikit-learn: Machine Learning in Python'],1
O. Grisel,['Scikit-learn: Machine Learning in Python'],1
Alexandre Gramfort,['Scikit-learn: Machine Learning in Python'],1
V. Michel,['Scikit-learn: Machine Learning in Python'],1
Fabian Pedregosa,['Scikit-learn: Machine Learning in Python'],1
G. Varoquaux,['Scikit-learn: Machine Learning in Python'],1
Mathieu Blondel,['Scikit-learn: Machine Learning in Python'],1
Ron J. Weiss,['Scikit-learn: Machine Learning in Python'],1
D. Cournapeau,['Scikit-learn: Machine Learning in Python'],1
M. Perrot,['Scikit-learn: Machine Learning in Python'],1
M. Brucher,['Scikit-learn: Machine Learning in Python'],1
Radford M. Neal,['Pattern Recognition and Machine Learning'],1
Alexey Kurakin,['Adversarial Machine Learning at Scale'],1
I. Goodfellow,['Adversarial Machine Learning at Scale'],1
I. Goodfellow,['Adversarial Machine Learning at Scale'],1
I. Goodfellow,['Adversarial Machine Learning at Scale'],1
Samy Bengio,['Adversarial Machine Learning at Scale'],1
Dzmitry Bahdanau,['Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation'],1
Dzmitry Bahdanau,['Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation'],1
Holger Schwenk,['Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation'],1
Kyunghyun Cho,['Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation'],1
Yoshua Bengio,['Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation'],1
B. V. Merrienboer,['Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation'],1
Yoshua Bengio,['Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation'],1
Kyunghyun Cho,['Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation'],1
Çaglar Gülçehre,['Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation'],1
Fethi Bougares,['Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation'],1
Hsin-Yuan Huang,"['Challenges and opportunities in quantum machine learning', 'Power of data in quantum machine learning']",2
Patrick J. Coles,['Challenges and opportunities in quantum machine learning'],1
Guillaume Verdon,['Challenges and opportunities in quantum machine learning'],1
L. Cincio,['Challenges and opportunities in quantum machine learning'],1
M. Cerezo,['Challenges and opportunities in quantum machine learning'],1
Hsin-Yuan Huang,"['Challenges and opportunities in quantum machine learning', 'Power of data in quantum machine learning']",2
Shangguan Wei,['SoilGrids250m: Global gridded soil information based on machine learning'],1
E. Ribeiro,['SoilGrids250m: Global gridded soil information based on machine learning'],1
N. Batjes,['SoilGrids250m: Global gridded soil information based on machine learning'],1
Marvin N. Wright,['SoilGrids250m: Global gridded soil information based on machine learning'],1
G. Heuvelink,['SoilGrids250m: Global gridded soil information based on machine learning'],1
B. Kempen,['SoilGrids250m: Global gridded soil information based on machine learning'],1
Ichsani Wheeler,['SoilGrids250m: Global gridded soil information based on machine learning'],1
R. Vargas,['SoilGrids250m: Global gridded soil information based on machine learning'],1
B. Bauer-Marschallinger,['SoilGrids250m: Global gridded soil information based on machine learning'],1
M. Kilibarda,['SoilGrids250m: Global gridded soil information based on machine learning'],1
Jorge Mendes de Jesus,['SoilGrids250m: Global gridded soil information based on machine learning'],1
X. Geng,['SoilGrids250m: Global gridded soil information based on machine learning'],1
Aleksandar Blagotić,['SoilGrids250m: Global gridded soil information based on machine learning'],1
M. Guevara,['SoilGrids250m: Global gridded soil information based on machine learning'],1
Maria Ruiperez González,['SoilGrids250m: Global gridded soil information based on machine learning'],1
T. Hengl,['SoilGrids250m: Global gridded soil information based on machine learning'],1
S. Mantel,['SoilGrids250m: Global gridded soil information based on machine learning'],1
J. Leenaars,['SoilGrids250m: Global gridded soil information based on machine learning'],1
R. MacMillan,['SoilGrids250m: Global gridded soil information based on machine learning'],1
T. Drummond,['Machine Learning for High-Speed Corner Detection'],1
E. Rosten,['Machine Learning for High-Speed Corner Detection'],1
S. Athey,['Stable learning establishes some common ground between causal inference and machine learning'],1
Peng Cui,['Stable learning establishes some common ground between causal inference and machine learning'],1
H. Neven,['Power of data in quantum machine learning'],1
M. Mohseni,['Power of data in quantum machine learning'],1
R. Babbush,['Power of data in quantum machine learning'],1
M. Broughton,['Power of data in quantum machine learning'],1
J. McClean,['Power of data in quantum machine learning'],1
S. Boixo,['Power of data in quantum machine learning'],1
S. Kotsiantis,['Supervised Machine Learning: A Review of Classification Techniques'],1
S. Kotsiantis,['Supervised Machine Learning: A Review of Classification Techniques'],1
Kyle Cranmer,['Machine learning and the physical sciences'],1
I. Cirac,['Machine learning and the physical sciences'],1
M. Schuld,['Machine learning and the physical sciences'],1
M. Schuld,['Machine learning and the physical sciences'],1
Leslie Vogt-Maranto,['Machine learning and the physical sciences'],1
Lenka Zdeborov'a,['Machine learning and the physical sciences'],1
Giuseppe Carleo,['Machine learning and the physical sciences'],1
L. Daudet,['Machine learning and the physical sciences'],1
Naftali Tishby,['Machine learning and the physical sciences'],1
