publicationId,publicationType,name,venue,year,issn,url,volume,JournalEditor
27475f31-a1d2-401b-84ad-9b405c7609a8,journal,Journal of Epidemiology and Community Health,Journal of Epidemiology and Community Health,2020,0143-005X,https://jech.bmj.com/,74,Jennifer Wolf
961301b0-6f5a-44a6-9216-54b673cded78,journal,Journal of Statistics and Data Science Education,Journal of Statistics and Data Science Education,2020,2693-9169,https://www.tandfonline.com/toc/ujse21/current,29,Karen Johnson
961301b0-6f5a-44a6-9216-54b673cded78,journal,Journal of Statistics and Data Science Education,Journal of Statistics and Data Science Education,2020,2693-9169,https://www.tandfonline.com/toc/ujse21/current,29,Karen Hughes
4d9ce1c4-dc84-46b9-903e-e3751c00c7dd,journal,Communications of the ACM,Communications of the ACM,2020,0001-0782,http://www.acm.org/pubs/cacm/,63,Derrick King
92d34d37-5c4b-4e11-b461-9041b7de4c2d,journal,Philosophical Transactions of the Royal Society B: Biological Sciences,Philosophical Transactions of the Royal Society of London. Biological Sciences,2019,0962-8436,https://www.jstor.org/journal/philtranbiolscie,374,Richard Carter
349a6ffc-3527-4d3d-aef4-8372fbc1a084,journal,Engineering,Engineering,2019,1947-394X,https://www.scirp.org/journal/eng/,1,William Mcpherson
ee1b24c6-e4e7-4f90-af25-166a9eff8e3a,journal,Small Business Economics,Small Business Economics,2019,0921-898X,http://www.springer.com/business+&+management/business+for+professionals/journal/11187,55,Caitlin Anderson
09bb329a-45bc-4561-860f-c8ac0e958895,journal,Ethics and Information Technology,Ethics and Information Technology,2019,1388-1957,https://www.springer.com/computer/swe/journal/10676,,Gregory Morales
55511511-6974-4037-92a4-aec79ba003fe,journal,Metabolomics,Metabolomics,2019,1573-3882,https://www.springer.com/life+sciences/biochemistry+&+biophysics/journal/11306,15,Alexandra Lopez
c0ded351-0e49-473e-816e-23b84c9f8dd3,journal,Frontiers in Environmental Science,Frontiers in Environmental Science,2019,2296-665X,http://www.frontiersin.org/Environmental_Science,1,Mark Choi
3fe65a3e-606b-4377-8de1-b3f779646e1e,journal,Annual Review of Political Science,"Annual review of political science (Palo Alto, Calif. Print)",2019,1094-2939,https://www.annualreviews.org/journal/polisci,1,Jeffrey Bailey
d949c7f0-1213-4a16-a6ab-134862369b91,journal,Journal of Librarianship and Information Science,Journal of Library and Information Sciences,2019,2374-2364,http://jlisnet.com/,51,Carrie Haney
2baad992-2268-4c38-9120-e453622f2eeb,journal,Journal of Medical Internet Research,Journal of Medical Internet Research,2019,1438-8871,http://www.symposion.com/jmir/index.htm,21,Max Burgess
bc30f894-9a9c-440e-8420-7bd3c5624384,journal,Journal of the Learning Sciences,The Journal of the Learning Sciences,2019,1050-8406,http://www.catchword.com/rpsv/cw/erlbaum/10508406/contp1.htm,29,Ashley Lloyd
41dbb273-8d18-4a45-8154-852882a37b34,journal,Genome Biology,Genome Biology,2019,1474-7596,http://genomebiology.com/,20,Sara Flores
bf228014-e6ea-4397-96c9-3fd22beb2f75,journal,Br. J. Educ. Technol.,British Journal of Educational Technology,2019,0007-1013,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8535,50,Kara Thomas
93a7b6aa-3a96-4e75-a837-cbd3660e8a72,journal,Geographical Analysis,Geographical Analysis,2019,0016-7363,http://www.wiley.com/bw/journal.asp?ref=0016-7363,1,Katrina Phillips
e4c9326f-17a0-48c8-85c6-2975945f4395,journal,Journal of Biosciences,Journal of Biosciences,2019,0250-5991,http://www.springer.com/,44,David Waters
70337d1b-fdf7-4fcb-b391-e096feba3748,journal,BMC Medicine,BMC Medicine,2018,1741-7015,http://www.biomedcentral.com/bmcmed/,16,Joshua Jacobs
ed4bb98c-600b-477e-9e9a-653127045ec0,journal,CHANCE,CHANCE : New Directions for Statistics and Computing,2018,0933-2480,http://www.informaworld.com/openurl?genre=journal&issn=0933-2480,32,Amy Simmons
93a7b6aa-3a96-4e75-a837-cbd3660e8a72,journal,Geographical Analysis,Geographical Analysis,2019,0016-7363,http://www.wiley.com/bw/journal.asp?ref=0016-7363,1,Matthew Werner
8b172637-3435-4dd3-a753-5035b814ff39,journal,The American Statistician,American Statistician,2019,0003-1305,http://openurl.ingenta.com/content?genre=journal&issn=0003-1305,74,Ms. Stephanie Peterson MD
5821d52f-e54a-4b02-981a-dd16fec9a115,journal,TOP,TOP - An Official Journal of the Spanish Society of Statistics and Operations Research,2019,1134-5764,https://link.springer.com/journal/11750,28,Tiffany Reed
8719d091-7af9-44c2-99b9-bc600f0f4134,journal,Applied Stochastic Models in Business and Industry,Applied Stochastic Models in Business and Industry,2019,1524-1904,http://eu.wiley.com/WileyCDA/WileyTitle/productCd-ASMB.html,1,Kyle Powell
4d899b46-b5c8-436e-8ce3-084673ea8905,journal,Big Data & Society,Big Data & Society,2019,2053-9517,http://bds.sagepub.com/,6,Larry Andrews
da1f558d-7744-4ce7-9b43-0a73f0057985,journal,Journal of Library Administration,Journal of Library Administration,2019,0193-0826,http://www.informaworld.com/openurl?genre=journal&issn=0193-0826,59,Shawn Galloway
75d7a8c1-d871-42db-a8e4-7cf5146fdb62,journal,Information Systems & Economics eJournal,Social Science Research Network,2019,1556-5068,http://www.ssrn.com/,1,Jonathan Rodriguez
c6840156-ee10-4d78-8832-7f8909811576,journal,IEEE Transactions on Knowledge and Data Engineering,IEEE Transactions on Knowledge and Data Engineering,2016,1041-4347,https://www.computer.org/web/tkde,29,Calvin Hood
4d9ce1c4-dc84-46b9-903e-e3751c00c7dd,journal,Communications of the ACM,Communications of the ACM,2018,0001-0782,http://www.acm.org/pubs/cacm/,61,Melinda Berry
94cf7e5d-ed99-4849-b9b9-17ed670f5e6e,journal,J. Soc. Comput.,Journal of Social Computing,2018,2688-5255,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8964404,2,Diane Smith
b9e25c64-26d3-444f-bd29-4ffb3c3c588e,journal,EuroMed Journal of Business,EuroMed Journal of Business,2022,1450-2194,https://www.emerald.com/insight/publication/issn/1450-2194,1,Bridget Rogers
3096eb5c-d18c-4877-94cd-28edd3a9c357,journal,International Journal of Environmental Research and Public Health,International Journal of Environmental Research and Public Health,2020,1660-4601,http://www.mdpi.com/journal/ijerph/,17,Cynthia Powers
79c59592-820f-4ed1-87df-db795b4326be,journal,Journal of Medical Systems,Journal of medical systems,2018,0148-5598,https://link.springer.com/journal/10916,42,Rebecca Murphy
f9827422-a381-440c-a8a4-e5e50415934e,journal,Journal of biomedical informatics,Journal of Biomedical Informatics,2018,1532-0464,http://www.elsevier.com/wps/find/journaldescription.cws_home/622857/description#description,80,Tyler Jordan
bfd86b13-d2a6-4fb4-9d06-bb12b918c5a6,journal,BMC Health Services Research,BMC Health Services Research,2017,1472-6963,http://www.biomedcentral.com/bmchealthservres/,17,John Oneal
2b84bdaf-f505-49f1-ab77-acc7693f6a55,journal,Mammalian Genome,Mammalian Genome,2015,0938-8990,https://link.springer.com/journal/335,26,Jose Brooks
10106566-d267-4be8-b7be-3c716007639f,journal,Anesthesia & Analgesia,Anesthesia and Analgesia,2016,0003-2999,http://gateway.ovid.com/ovidweb.cgi?AN=00000539-000000000-00000&D=ovft&MODE=ovid&PAGE=toc&T=JS,122,Virginia Norris
ff159887-5591-495e-8a29-710e87e64127,journal,International Journal of Production Research,International Journal of Production Research,2017,0020-7543,http://www.tandfonline.com/loi/tprs20,55,Michael Black
0aed7a40-85f3-4c66-9e1b-c1556c57001b,journal,PLoS ONE,PLoS ONE,2013,1932-6203,https://journals.plos.org/plosone/,8,Andrea Cunningham
c6840156-ee10-4d78-8832-7f8909811576,journal,IEEE Transactions on Knowledge and Data Engineering,IEEE Transactions on Knowledge and Data Engineering,2013,1041-4347,https://www.computer.org/web/tkde,25,Brandi Rogers
50a895e2-cd1a-4b97-ae2a-947ead61b538,journal,Ingeniería e Investigación,INGENIERÍA INVESTIGA,2013,2708-3039,https://revistas.unal.edu.co/index.php/ingeinv,1,Julie Hayes
b741e3ff-d389-4515-a649-e6b457783aac,journal,Int. J. Bus. Inf. Syst.,International Journal of Business Information Systems,2012,1746-0972,http://www.inderscience.com/browse/index.php?journalID=172,11,Michael Johnson
388d50fd-182a-4f42-bf37-f5fd7ce508fc,journal,BMC Plant Biology,BMC Plant Biology,2009,1471-2229,http://www.biomedcentral.com/bmcplantbiol/,9,Angie Glass
ff159887-5591-495e-8a29-710e87e64127,journal,International Journal of Production Research,International Journal of Production Research,2018,0020-7543,http://www.tandfonline.com/loi/tprs20,56,Leslie Joyce
0aed7a40-85f3-4c66-9e1b-c1556c57001b,journal,PLoS ONE,PLoS ONE,2011,1932-6203,https://journals.plos.org/plosone/,6,Michael Johnson
baaccfaa-ab14-4308-bbb6-15df1b0c2646,journal,J. Comput.,Journal of Computers,2011,1796-203X,http://www.academypublisher.com/jcp/,6,Ann Wright
5d2ac1a1-1fcd-4505-8b9d-5484ad5ffa66,journal,J. King Saud Univ. Comput. Inf. Sci.,Journal of King Saud University: Computer and Information Sciences,2011,1319-1578,https://www.journals.elsevier.com/journal-of-king-saud-university-computer-and-information-sciences/,23,James Williams
f9827422-a381-440c-a8a4-e5e50415934e,journal,Journal of biomedical informatics,Journal of Biomedical Informatics,2011,1532-0464,http://www.elsevier.com/wps/find/journaldescription.cws_home/622857/description#description,44 6,Raymond Greene
0f276dc7-7c36-4465-aab9-b358ee2dafa9,journal,Int. J. Data Warehous. Min.,International Journal of Data Warehousing and Mining,2011,1548-3924,http://www.idea-group.com/journals/details.asp?id=4291,7,John Reese
c8f7a681-2d49-409b-9f88-c0fad3152642,journal,Journal of rehabilitation research and development,Journal of rehabilitation research and development,2010,0748-7711,https://www.rehab.research.va.gov/jour/jourindx.html,47 8,Rachel Preston
69c55941-42d0-4d07-bc3f-9a98c51b8fe7,journal,The International Journal of Advanced Manufacturing Technology,The International Journal of Advanced Manufacturing Technology,2019,0268-3768,http://www.springer.com/170,106,Ryan Baker
3235a2bb-118f-4abc-9046-80342279a154,journal,Ind. Manag. Data Syst.,Industrial management & data systems,2019,0263-5577,https://www.emerald.com/insight/publication/issn/0263-5577,119,Amanda Sparks
7b1fdd86-df9b-4e96-9348-7170adfca587,journal,Int. J. Inf. Decis. Sci.,International Journal of Information and Decision Sciences,2009,1756-7017,https://www.inderscience.com/jhome.php?jcode=ijids,1,Amber Ryan
f4c0fba6-8d83-4a73-aaa4-2ad01918304e,journal,Software Quality Journal,Software quality journal,2008,0963-9314,https://link.springer.com/journal/11219,16,John Torres
6457124b-39bf-4d02-bff4-73752ff21562,journal,Nature Machine Intelligence,Nature Machine Intelligence,2018,2522-5839,https://www.nature.com/natmachintell/,1,Jonathan Thomas
f59506a8-d8bb-4101-b3d4-c4ac3ed03dad,journal,Science,Science,2015,0193-4511,https://www.jstor.org/journal/science,349,Pamela Pollard
43d8ff46-e680-4c40-84dc-a8f86d3f559b,journal,,Cambridge International Law Journal,2017,2398-9173,https://www.elgaronline.com/view/journals/cilj/cilj-overview.xml,1,Robert Thompson
7b2adce0-d53f-49d6-8784-b0645604fe62,journal,ACM Computing Surveys (CSUR),ACM Computing Surveys,2019,0360-0300,http://www.acm.org/pubs/surveys/,54,Adam Johnson
c22e7c36-3bfa-43e1-bb7b-edccdea2a780,journal,ArXiv,Journal of machine learning research,2011,1532-4435,http://www.ai.mit.edu/projects/jmlr/,abs/1201.0490,Timothy Smith
a042b147-151c-4d51-97c7-40b8434b377a,journal,International journal of neural systems,International Journal of Neural Systems,2004,0129-0657,http://www.worldscinet.com/ijns,14 2,Justin Weeks
ca4b3aef-bda7-47fe-b7e5-4f9cd6cb1947,journal,Technometrics,Technometrics,2006,0040-1706,http://www.catchword.com/titles/10857117.htm,49,Peggy Weeks
7a7dc89b-e1a6-44df-a496-46c330a87840,journal,Sn Computer Science,SN Computer Science,2021,2661-8907,https://link.springer.com/journal/42979,2,Charles Martin
099b11f4-fbe6-40a6-9c6d-a1a83f28b9a3,journal,international journal of engineering technology and management sciences,International Journal of Engineering Technology and Management Sciences,2022,2581-4621,http://ijetms.in/,1,Zachary Suarez
4cbc2987-6254-4668-b85b-aeabd7ff62ef,journal,Nature Computational Science,Nature Computational Science,2022,2662-8457,,2,Ryan Wright
8f59dd66-e4cd-4341-8ea9-9a03d965a009,journal,ArXiv,SIAM Review,2016,0036-1445,https://www.jstor.org/journal/siamreview,abs/1606.04838,Cheryl Smith
0aed7a40-85f3-4c66-9e1b-c1556c57001b,journal,PLoS ONE,PLoS ONE,2017,1932-6203,https://journals.plos.org/plosone/,12,Jeffrey Jenkins
099483df-e8f2-4bee-805d-8a69f07b6cbf,journal,Nature Methods,Nature Methods,2019,1548-7091,http://www.nature.com/,16,Jennifer Arias
6c24a0a0-b07d-4d7b-a19b-fd09a3ed453a,journal,Nature,Nature,2018,0028-0836,https://www.nature.com/,559,Gary Jones PhD
166fd2b5-a928-4a98-a449-3b90935cc101,journal,Proceedings of the 2017 ACM SIGSAC Conference on Computer and Communications Security,IACR Cryptology ePrint Archive,2017,,http://eprint.iacr.org/,1,Jessica Lopez
6457124b-39bf-4d02-bff4-73752ff21562,journal,Nature Machine Intelligence,Nature Machine Intelligence,2022,2522-5839,https://www.nature.com/natmachintell/,4,Christopher Rodgers
bb95bf2e-8383-4748-bf9d-d6906d091085,journal,Proceedings of the National Academy of Sciences of the United States of America,Proceedings of the National Academy of Sciences of the United States of America,2021,0027-8424,https://www.jstor.org/journal/procnatiacadscie,118,Jennifer Yates DDS
0d993d4a-09ba-4df8-90a4-7dfe25f0cb9e,journal,ACM Transactions on Intelligent Systems and Technology (TIST),ACM Transactions on Intelligent Systems and Technology,2019,2157-6904,http://portal.acm.org/tist,10,Anthony Murphy
43b3f0f9-489a-4566-8164-02fafde3cd98,journal,Nature Communications,Nature Communications,2020,2041-1723,https://www.nature.com/ncomms/,12,Mary Hall
729a1139-78df-40c0-899b-17b6212e786f,journal,,Informatica,2007,0868-4952,http://content.iospress.com/journals/informatica,1,Rachel Smith
8558aef1-7952-4eac-8e2c-e095c1a741a0,journal,Reviews of Modern Physics,Reviews of Modern Physics,2019,0034-6861,https://journals.aps.org/rmp/,1,Holly Becker
8270cfe1-3713-4325-a7bd-c6a87eed889e,journal,Entropy,Entropy,2020,1099-4300,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-155606,23,Ryan Deleon
db4b98e5-3f60-4140-b07c-7b9d73023183,journal,ArXiv,Annual Review of Fluid Mechanics,2019,0066-4189,https://www.annualreviews.org/journal/fluid,abs/1905.11075,Brian Russell
266f640f-003e-453b-ab76-57e4053252f8,journal,Pattern Recognit.,Pattern Recognition,1997,0031-3203,http://www.elsevier.com/wps/find/journaldescription.cws_home/328/description#description,30,Jessica Hanson
f62e5eab-173a-4e0a-a963-ed8de9835d22,journal,IEEE Signal Processing Magazine,IEEE Signal Processing Magazine,2012,1053-5888,http://ieeexplore.ieee.org/servlet/opac?punumber=79,29,Jesse Taylor
25248f80-fe99-48e5-9b8e-9baef3b8e23b,journal,IEEE Transactions on Pattern Analysis and Machine Intelligence,IEEE Transactions on Pattern Analysis and Machine Intelligence,2017,0162-8828,http://www.computer.org/tpami/,41,Cheyenne Mcguire
21b370ff-cb87-4599-b39a-25cd5a1b03cb,journal,Electronic Markets,Electronic Markets,2021,1019-6781,http://www.metapress.com/openurl.asp?genre=journal&issn=1019-6781,31,Adam Cochran
6c24a0a0-b07d-4d7b-a19b-fd09a3ed453a,journal,Nature,Nature,2021,0028-0836,https://www.nature.com/,594,Michael Jones
aa48c648-ec9a-4625-9a7a-68c91ccb54ea,journal,ArXiv,Statistics Survey,2021,1935-7516,https://www.imstat.org/journals-and-publications/statistics-surveys/,abs/2103.11251,Jennifer Rush
b3b8f19c-c31b-4847-bc7b-66a18aebedfe,journal,Nature Reviews Molecular Cell Biology,Nature reviews. Molecular cell biology,2021,1471-0072,https://www.nature.com/nrm/,23,Gregory Evans
8a257033-ea67-4623-90da-49cbbe0d6e5b,journal,Nature Reviews Drug Discovery,Nature reviews. Drug discovery,2019,1474-1776,https://www.nature.com/nrd/,18,Lisa Vazquez
b478fd19-64fa-4b39-8546-7b253fad9c1c,journal,Applied Nanoscience,Applied Nanoscience,2021,2190-5517,http://www.springer.com/13204,13,Brandon Brock
6457124b-39bf-4d02-bff4-73752ff21562,journal,Nature Machine Intelligence,Nature Machine Intelligence,2021,2522-5839,https://www.nature.com/natmachintell/,3,John Castro
66520ff1-2ca9-41d3-8f35-a340e77ae8cd,journal,Journal of Applied Science and Technology Trends,Journal of Applied Science and Technology Trends,2021,2708-0757,https://jastt.org/index.php/jasttpath,1,Nicole Nicholson
df12d289-f447-47d3-8846-75e39de3ab57,journal,ArXiv,Neurocomputing,2020,0925-2312,http://www.elsevier.com/locate/neucom,abs/2007.15745,Kimberly Johnson
6457124b-39bf-4d02-bff4-73752ff21562,journal,Nature Machine Intelligence,Nature Machine Intelligence,2020,2522-5839,https://www.nature.com/natmachintell/,3,Wendy Yang
7b2adce0-d53f-49d6-8784-b0645604fe62,journal,ACM Computing Surveys,ACM Computing Surveys,2020,0360-0300,http://www.acm.org/pubs/surveys/,1,Janet Rodriguez
bb95bf2e-8383-4748-bf9d-d6906d091085,journal,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences of the United States of America,2019,0027-8424,https://www.jstor.org/journal/procnatiacadscie,116,Shane Murillo
bb95bf2e-8383-4748-bf9d-d6906d091085,journal,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences of the United States of America,2018,0027-8424,https://www.jstor.org/journal/procnatiacadscie,116,Cassandra Singh
c22e7c36-3bfa-43e1-bb7b-edccdea2a780,journal,ArXiv,Journal of machine learning research,2015,1532-4435,http://www.ai.mit.edu/projects/jmlr/,abs/1502.05767,Krystal Perkins
ccd8e532-73c6-414f-bc91-271bbb2933e2,journal,Electronics,Electronics,2019,1450-5843,http://www.electronics.etfbl.net/,1,Wendy Harrison
a688800a-ab93-4531-9258-c10e1b6ddf68,journal,,Automated Machine Learning,2019,2520-131X,,1,Jeffrey Cole
c22e7c36-3bfa-43e1-bb7b-edccdea2a780,journal,J. Mach. Learn. Res.,Journal of machine learning research,2020,1532-4435,http://www.ai.mit.edu/projects/jmlr/,23,Monica Palmer
2633f5b2-c15c-49fe-80f5-07523e770c26,journal,IEEE Access,IEEE Access,2019,2169-3536,http://www.ieee.org/publications_standards/publications/ieee_access.html,7,Mark Ruiz
722543dd-21f3-4b3c-941b-1045b173ec51,journal,Nature Reviews Materials,Nature Reviews Materials,2021,2058-8437,http://www.nature.com/natrevmats/,6,Paul Stafford
c99cfe66-b71c-4ca4-bedd-26267b9cb068,journal,IEEE Transactions on Software Engineering,IEEE Transactions on Software Engineering,2019,0098-5589,http://ieeexplore.ieee.org/servlet/opac?punumber=32,48,Jonathan Archer
2a0713ba-a4af-4a0a-ae49-81b8edeca660,journal,Chemical Science,Chemical Science,2017,2041-6520,http://www.rsc.org/chemicalscience,9,Stephen Allen
25248f80-fe99-48e5-9b8e-9baef3b8e23b,journal,IEEE Transactions on Pattern Analysis and Machine Intelligence,IEEE Transactions on Pattern Analysis and Machine Intelligence,2020,0162-8828,http://www.computer.org/tpami/,44,Craig Edwards
05528bac-d212-46a6-9c84-314d4bd77368,journal,International Journal of Intelligent Systems,International Journal of Intelligent Systems,2021,0884-8173,http://www3.interscience.wiley.com/cgi-bin/jhome/36062,36,Wendy Kim
3da56ce6-4a70-402c-a8b0-7dd39a3273d3,journal,Software: Practice and Experience,"Software, Practice & Experience",2020,0038-0644,http://www3.interscience.wiley.com/cgi-bin/jhome/1752,51,Dylan Coleman
f80a2e54-1332-48bf-9634-4b2f77fca809,journal,Data Intelligence,Data Intelligence,2020,2641-435X,http://www.data-intelligence-journal.org/,2,Alexis Mcintyre
bf73462e-700c-40b3-9cbd-f4bb76cac314,journal,European Journal of Clinical Microbiology & Infectious Diseases,European Journal of Clinical Microbiology and Infectious Diseases,2019,0934-9723,https://link.springer.com/journal/10096,38,Craig Rivers
027ffd21-ebb0-4af8-baf5-911124292fd0,journal,Journal of the American Medical Informatics Association : JAMIA,bioRxiv,2017,,http://biorxiv.org/,25,Shannon Nielsen
2c0789a6-a318-49cb-b890-f5d278c70bcd,journal,Journal of Organizational Computing and Electronic Commerce,Journal of Organizational Computing and Electronic Commerce,2018,1091-9392,http://www.tandfonline.com/loi/hoce20,28,Douglas Brennan
76da9cc5-c5a7-42b4-a250-3e708c5f4980,journal,BMC Medical Informatics and Decision Making,BMC Medical Informatics and Decision Making,2018,1472-6947,http://www.biomedcentral.com/bmcmedinformdecismak/,18,Justin Briggs
0aed7a40-85f3-4c66-9e1b-c1556c57001b,journal,PLoS ONE,PLoS ONE,2016,1932-6203,https://journals.plos.org/plosone/,11,Robert Cox
227fb221-5e57-477c-b756-e39dd8ffd538,journal,ArXiv,Isprs Journal of Photogrammetry and Remote Sensing,2019,,,abs/1904.00592,Timothy Vazquez
8e4be2cc-17fd-4d86-9bf9-3ebc2c6af474,journal,Radioengineering,Radioengineering,2021,1210-2512,http://www.radioeng.cz/,1,Erica Nguyen
939ee07c-6009-43f8-b884-69238b40659e,journal,International Journal of Computer Vision,International Journal of Computer Vision,2017,0920-5691,https://www.springer.com/computer/image+processing/journal/11263,126,Tanya Brown
34225f0b-ef59-4a36-913f-cca0e47930f0,journal,Int. J. Semantic Web Inf. Syst.,International Journal on Semantic Web and Information Systems (IJSWIS),2014,1552-6283,http://www.igi-global.com/ijswis,10,Matthew Sutton
3b4e0d11-3211-4ead-848c-99928b5ef30e,journal,IEEE Network,IEEE Network,2021,0890-8044,http://ieeexplore.ieee.org/servlet/opac?punumber=65,36,Eric Leblanc
fd4675fe-4136-446c-aefd-3658aae698ac,journal,Journal of Cheminformatics,Journal of Cheminformatics,2012,1758-2946,https://jcheminf.biomedcentral.com/,4,Brianna Nelson
1ee52b4c-8c57-4d60-aead-d9ef4255f1e9,journal,IEEE Transactions on Automation Science and Engineering,IEEE Transactions on Automation Science and Engineering,2020,1545-5955,http://ieeexplore.ieee.org/servlet/opac?punumber=8856,18,Robyn Moreno
e2742a49-1b55-4a31-b319-7455fa5e12d4,journal,IEEE Transactions on Services Computing,IEEE Transactions on Services Computing,2019,1939-1374,http://www.computer.org/tsc,12,Nancy Lee
939ee07c-6009-43f8-b884-69238b40659e,journal,International Journal of Computer Vision,International Journal of Computer Vision,2019,0920-5691,https://www.springer.com/computer/image+processing/journal/11263,128,Nathan Shelton
939ee07c-6009-43f8-b884-69238b40659e,journal,International Journal of Computer Vision,International Journal of Computer Vision,2020,0920-5691,https://www.springer.com/computer/image+processing/journal/11263,129,Sharon Ellis
939ee07c-6009-43f8-b884-69238b40659e,journal,International Journal of Computer Vision,International Journal of Computer Vision,2016,0920-5691,https://www.springer.com/computer/image+processing/journal/11263,127,Christine Jones
62924b2a-8fb8-4b93-92c6-735516b49af0,journal,Scientific Data,Scientific Data,2016,2052-4463,http://www.nature.com/sdata/,3,Angel Singleton
